"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
25. 炖,3957,COMEDY,25. 形容,3019,COMEDY
26. 番茄酱,2057,COMEDY,26. 装置,2295,TRAGEDY
27. 身边,1679,TRAGEDY,27. 车身,4382,TRAGEDY
28. 荣耀,4948,TRAGEDY,28. 适应性,2343,COMEDY
29. 锁,3854,TRAGEDY,29. 光源,4720,COMEDY
30. 注意力,1066,TRAGEDY,30. 底蕴,4136,TRAGEDY
31. 牙刷,4960,COMEDY,31. 到来,2456,TRAGEDY
32. 镜头,3451,COMEDY,32. 蜡烛,4785,TRAGEDY
33. 参观,1594,COMEDY,33. 形势,4140,TRAGEDY
34. 疫情,1670,TRAGEDY,34. 层次,1501,TRAGEDY
35. 走过,3258,TRAGEDY,35. 涉及,507,TRAGEDY
36. 玩耍,1717,COMEDY,36. 后果,1848,TRAGEDY
37. 香气,1980,COMEDY,37. 党,2112,COMEDY
38. 日本,928,COMEDY,38. 点击,1423,COMEDY
39. 缩短,3070,TRAGEDY,39. 唐诗,4892,TRAGEDY
40. 逗号,4227,COMEDY,40. 滑雪,4580,COMEDY
41. 折扣,2273,COMEDY,41. 盗窃,3875,TRAGEDY
42. 主人,1483,COMEDY,42. 偏见,2336,TRAGEDY
43. 灯具,2695,COMEDY,43. 包容,3506,COMEDY
44. 姿态,3255,COMEDY,44. 疼痛,1988,TRAGEDY
45. 化合物,1978,TRAGEDY,45. 注意力,1066,TRAGEDY
46. 风能,2721,COMEDY,46. 简介,2706,TRAGEDY
47. 平板,3162,COMEDY,47. 责任感,2639,TRAGEDY
48. 加入,168,COMEDY,48. 基准,4813,TRAGEDY
49. 月份,3171,TRAGEDY,49. 传感器,1517,TRAGEDY
50. 商店,1800,COMEDY,50. 工作,47,TRAGEDY
51. 交互,1076,COMEDY,51. 续写,3687,TRAGEDY
52. 芒果,3420,COMEDY,52. 看法,818,TRAGEDY
53. 减法,4676,TRAGEDY,53. 漫画,4269,COMEDY
54. 新人,2525,COMEDY,54. 有的,4500,TRAGEDY
55. 这里,344,COMEDY,55. 烹饪,891,COMEDY
56. 仓库,2772,TRAGEDY,56. 烧,3684,TRAGEDY
57. 手工,1929,COMEDY,57. 句,1760,TRAGEDY
58. 能否,753,TRAGEDY,58. 淋,4802,TRAGEDY
59. 大地,2245,TRAGEDY,59. 芝士,1713,COMEDY
60. 高管,3243,TRAGEDY,60. 身份,938,TRAGEDY
61. 生物体,4305,TRAGEDY,61. 家园,1822,TRAGEDY
62. 势力,4836,TRAGEDY,62. 豆,4812,COMEDY
63. 症状,714,TRAGEDY,63. 需求,87,TRAGEDY
64. 法语,2168,COMEDY,64. 打印,1126,TRAGEDY
65. 上传,4119,COMEDY,65. 总结,394,TRAGEDY
66. 辩论,4392,TRAGEDY,66. 没错,4746,COMEDY
67. 夫妇,4807,COMEDY,67. 桥梁,3276,TRAGEDY
68. 基础,369,TRAGEDY,68. 天文学家,4698,TRAGEDY
69. 病历,3219,TRAGEDY,69. 唱歌,3300,COMEDY
70. 用到,3562,COMEDY,70. 为什么,3953,TRAGEDY
71. 云层,4877,TRAGEDY,71. 书架,4496,TRAGEDY
72. 甲烷,4384,TRAGEDY,72. 变迁,4984,TRAGEDY
73. 实例,1914,COMEDY,73. 跳过,4791,COMEDY
74. 电能,4071,COMEDY,74. 价,3539,TRAGEDY
75. 擦拭,3575,COMEDY,75. 人才,1162,TRAGEDY
76. 付,4050,COMEDY,76. 线路,2868,TRAGEDY
77. 调度,2879,TRAGEDY,77. 防范,2679,TRAGEDY
78. 牛仔裤,3902,COMEDY,78. 结算,4198,TRAGEDY
79. 健身,600,COMEDY,79. 评测,2179,TRAGEDY
80. 强度,1072,TRAGEDY,80. 蓝莓,3713,COMEDY
81. 储蓄,2265,COMEDY,81. 编辑,1190,TRAGEDY
82. 剂,1963,TRAGEDY,82. 行政,1839,TRAGEDY
83. 广场,3110,COMEDY,83. 假设,679,TRAGEDY
84. 像素,2588,COMEDY,84. 化学品,4518,TRAGEDY
85. 灯泡,3241,COMEDY,85. 表达,215,TRAGEDY
86. 镜子,4462,COMEDY,86. 音频,2444,COMEDY
87. 包括,35,COMEDY,87. 瑞士,4956,TRAGEDY
88. 程度,540,TRAGEDY,88. 入睡,3930,COMEDY
89. 航班,3838,TRAGEDY,89. 推导,4642,TRAGEDY
90. 撰写,799,COMEDY,90. 追溯,1912,TRAGEDY
91. 花瓣,3242,TRAGEDY,91. 联系,378,TRAGEDY
92. 配备,2180,TRAGEDY,92. 份额,1779,TRAGEDY
93. 改造,3765,TRAGEDY,93. 咖啡豆,2519,COMEDY
94. 小孩,4552,COMEDY,94. 企业,118,TRAGEDY
95. 例,1300,TRAGEDY,95. 防晒,3623,COMEDY
96. 印度,1967,TRAGEDY,96. 车辆,699,TRAGEDY
97. 场合,1202,TRAGEDY,97. 魅力,1258,COMEDY
98. 搭建,3185,TRAGEDY,98. 看起来,2939,COMEDY
99. 技术,20,TRAGEDY,99. 不足,2398,TRAGEDY
100. 报表,1874,TRAGEDY,100. 依靠,3188,TRAGEDY
101. 观看,1819,COMEDY,101. 架构,1669,TRAGEDY
102. 探讨,567,TRAGEDY,102. 羽毛,3481,COMEDY
103. 探究,1863,TRAGEDY,103. 主人公,1651,TRAGEDY
104. 俄罗斯,3573,TRAGEDY,104. 欲,4558,TRAGEDY
105. 闪烁,3369,COMEDY,105. 孩子们,4181,COMEDY
106. 赢得,1634,COMEDY,106. 乐意,2351,COMEDY
107. 课堂,2571,TRAGEDY,107. 切,1360,TRAGEDY
108. 洗,2627,COMEDY,108. 分,1425,TRAGEDY
109. 遭遇,3356,TRAGEDY,109. 雨水,3751,TRAGEDY
110. 房,1720,TRAGEDY,110. 分数,1752,TRAGEDY
111. 埃及,3379,TRAGEDY,111. 利润,966,TRAGEDY
112. 实验,416,TRAGEDY,112. 护肤,3407,COMEDY
113. 型号,1680,TRAGEDY,113. 风情,4641,COMEDY
114. 短文,1965,COMEDY,114. 困扰,2641,TRAGEDY
115. 心态,1080,TRAGEDY,115. 叶子,1855,COMEDY
116. 收到,2025,COMEDY,116. 毕业生,4377,COMEDY
117. 机油,4345,TRAGEDY,117. 方方面面,4278,TRAGEDY
118. 语音,517,COMEDY,118. 打下,4764,TRAGEDY
119. 可行性,2775,TRAGEDY,119. 怎么样,1469,COMEDY
120. 缺乏,857,TRAGEDY,120. 可持续性,2374,TRAGEDY
121. 预,2893,TRAGEDY,121. 怎样,3246,TRAGEDY
122. 总结,394,TRAGEDY,122. 翻转,4024,COMEDY
123. 森林,772,TRAGEDY,123. 折,3442,TRAGEDY
124. 洪水,2402,TRAGEDY,124. 选项,667,TRAGEDY
125. 选定,4923,TRAGEDY,125. 手法,2058,COMEDY
126. 基因,779,TRAGEDY,126. 违反,2109,TRAGEDY
127. 争吵,4734,TRAGEDY,127. 烧开,4482,COMEDY
128. 偏差,3668,TRAGEDY,128. 新闻,660,TRAGEDY
129. 上方,3553,TRAGEDY,129. 形容词,4132,COMEDY
130. 景象,2387,TRAGEDY,130. 调味料,2686,COMEDY
131. 娱乐,805,COMEDY,131. 日志,2490,TRAGEDY
132. 寿命,1349,TRAGEDY,132. 式,843,COMEDY
133. 费用,585,TRAGEDY,133. 骨,4907,TRAGEDY
134. 准确度,4310,TRAGEDY,134. 肺癌,4603,TRAGEDY
135. 带宽,4340,TRAGEDY,135. 星际,4203,COMEDY
136. 涉及,507,TRAGEDY,136. 洗衣机,2411,COMEDY
137. 根,1951,TRAGEDY,137. 伦理,1401,TRAGEDY
138. 陆地,3213,TRAGEDY,138. 字符,979,COMEDY
139. 餐,2991,COMEDY,139. 中文,733,COMEDY
140. 专家,892,TRAGEDY,140. 医学,504,TRAGEDY
141. 转换,539,TRAGEDY,141. 涂抹,2397,COMEDY
142. 分开,4240,TRAGEDY,142. 规划,397,TRAGEDY
143. 经理,768,TRAGEDY,143. 晚餐,1835,COMEDY
144. 油脂,3468,TRAGEDY,144. 看,158,COMEDY
145. 饮食,246,COMEDY,145. 伦敦,2405,COMEDY
146. 致,2923,TRAGEDY,146. 计,3690,TRAGEDY
147. 一体,4356,TRAGEDY,147. 多样性,961,COMEDY
148. 踏上,4997,TRAGEDY,148. 布,2722,COMEDY
149. 传说,2022,TRAGEDY,149. 国王,4226,TRAGEDY
150. 差距,3268,TRAGEDY,150. 销量,3835,TRAGEDY
151. 治愈,3700,COMEDY,151. 放置,1112,TRAGEDY
152. 姓名,1482,COMEDY,152. 法国,1348,COMEDY
153. 固体,4265,COMEDY,153. 标签,1323,TRAGEDY
154. 扮演,1090,COMEDY,154. 卷,2410,TRAGEDY
155. 木,2740,COMEDY,155. 净化,3074,TRAGEDY
156. 兔子,1547,COMEDY,156. 状,2735,TRAGEDY
157. 行人,3740,COMEDY,157. 成为,98,COMEDY
158. 购,2755,COMEDY,158. 病人,822,TRAGEDY
159. 交流,296,COMEDY,159. 肥料,1996,COMEDY
160. 抱,4826,COMEDY,160. 未来,2812,COMEDY
161. 小米,2974,COMEDY,161. 语音,517,COMEDY
162. 北极,3251,COMEDY,162. 投资者,1270,TRAGEDY
163. 热爱,1269,COMEDY,163. 志愿者,1715,COMEDY
164. 表面积,4602,COMEDY,164. 包裹,3821,COMEDY
165. 检索,3294,COMEDY,165. 批评,2232,TRAGEDY
166. 处理,73,COMEDY,166. 日历,3884,COMEDY
167. 支持,114,COMEDY,167. 诞生,4367,COMEDY
168. 湖泊,2556,COMEDY,168. 时空,2672,TRAGEDY
169. 糖,747,COMEDY,169. 作品,290,COMEDY
170. 反馈,575,COMEDY,170. 排除,2637,TRAGEDY
171. 车辆,699,COMEDY,171. 维生素,982,COMEDY
172. 简化,2247,COMEDY,172. 视角,2554,COMEDY
173. 财产,1436,COMEDY,173. 顾问,2638,TRAGEDY
174. 次数,1051,COMEDY,174. 高达,4760,COMEDY
175. 东,4712,COMEDY,175. 哈希,4752,TRAGEDY
176. 言语,4112,COMEDY,176. 个性,1290,COMEDY
177. 气体,670,COMEDY,177. 碳水化合物,2004,COMEDY
178. 痛苦,2164,TRAGEDY,178. 大师,4549,COMEDY
179. 素质,1227,COMEDY,179. 源,2328,TRAGEDY
180. 教,2577,COMEDY,180. 论文,756,TRAGEDY
181. 边,1453,TRAGEDY,181. 节日,1324,COMEDY
182. 李明,1343,TRAGEDY,182. 隔离,3422,TRAGEDY
183. 数据点,3514,TRAGEDY,183. 烤制,2513,COMEDY
184. 数学家,4994,TRAGEDY,184. 人口,999,TRAGEDY
185. 推进,1296,TRAGEDY,185. 口语,1489,COMEDY
186. 煮熟,1947,COMEDY,186. 大,2233,COMEDY
187. 美观,4228,COMEDY,187. 季度,2138,TRAGEDY
188. 提供,19,TRAGEDY,188. 喜剧,3735,COMEDY
189. 机票,3034,COMEDY,189. 亲子,1650,COMEDY
190. 杰克,1864,COMEDY,190. 哪里,1046,TRAGEDY
191. 茄子,3526,COMEDY,191. 企业家,1307,TRAGEDY
192. 预约,4068,TRAGEDY,192. 牌,2682,COMEDY
193. 本人,4009,TRAGEDY,193. 模板,2115,TRAGEDY
194. 肾,4332,TRAGEDY,194. 监测,836,TRAGEDY
195. 邀请,1719,COMEDY,195. 背后,2140,TRAGEDY
196. 暂停,3897,TRAGEDY,196. 灯泡,3241,COMEDY
197. 许可,4507,TRAGEDY,197. 玉米,3017,COMEDY
198. 纽约,1879,COMEDY,198. 渴望,2281,TRAGEDY
199. 地铁,2471,TRAGEDY,199. 新郎,4850,COMEDY
200. 参与,380,COMEDY,200. 产权,1941,TRAGEDY
201. 混合,769,COMEDY,201. 执行,389,TRAGEDY
202. 区别,1315,TRAGEDY,202. 鼓励,458,COMEDY
203. 灯,2063,COMEDY,203. 糖尿病,2182,TRAGEDY
204. 纽约市,3117,COMEDY,204. 黄色,3095,COMEDY
205. 赞叹,4919,COMEDY,205. 手续,4723,TRAGEDY
206. 抑郁症,3401,TRAGEDY,206. 讲讲,4817,COMEDY
207. 成分,687,TRAGEDY,207. 分词,3630,TRAGEDY
208. 星际,4203,COMEDY,208. 制作,175,COMEDY
209. 引导,1089,TRAGEDY,209. 度假,1917,COMEDY
210. 净化器,3085,TRAGEDY,210. 图像,534,TRAGEDY
211. 狗狗,1028,COMEDY,211. 利润率,4099,TRAGEDY
212. 罪犯,3742,TRAGEDY,212. 青蛙,4406,COMEDY
213. 变革,1461,TRAGEDY,213. 抽取,2425,TRAGEDY
214. 于,3334,COMEDY,214. 保障,673,TRAGEDY
215. 道理,2636,TRAGEDY,215. 背,4477,TRAGEDY
216. 减压,3842,COMEDY,216. 气球,3164,COMEDY
217. 抑郁,2978,TRAGEDY,217. 描写,1701,TRAGEDY
218. 奉献,4218,TRAGEDY,218. 母乳,2912,TRAGEDY
219. 青椒,2616,COMEDY,219. 室温,4679,TRAGEDY
220. 灰色,4189,TRAGEDY,220. 产物,3152,TRAGEDY
221. 长度,555,COMEDY,221. 街头,4211,TRAGEDY
222. 忘,3898,TRAGEDY,222. 资讯,4949,TRAGEDY
223. 认知,872,TRAGEDY,223. 大众,2734,TRAGEDY
224. 肌肤,1291,COMEDY,224. 称为,755,TRAGEDY
225. 房价,2774,TRAGEDY,225. 岩石,2296,TRAGEDY
226. 瘦肉,4973,COMEDY,226. 刺激,1365,COMEDY
227. 事务,2894,TRAGEDY,227. 起床,4744,TRAGEDY
228. 易于,1251,COMEDY,228. 一致,2442,TRAGEDY
229. 帽子,3647,COMEDY,229. 留意,4762,TRAGEDY
230. 代码,92,TRAGEDY,230. 指导,484,TRAGEDY
231. 矛盾,1340,TRAGEDY,231. 食用油,4750,TRAGEDY
232. 废水,4039,TRAGEDY,232. 接触,1119,TRAGEDY
233. 演奏,1885,COMEDY,233. 帮忙,1892,COMEDY
234. 队员,3988,COMEDY,234. 题目,730,TRAGEDY
235. 竞争,465,TRAGEDY,235. 们,318,TRAGEDY
236. 不确定性,2645,TRAGEDY,236. 享用,1810,COMEDY
237. 滑动,4730,COMEDY,237. 咨询,665,TRAGEDY
238. 人体,1015,TRAGEDY,238. 奶粉,4638,TRAGEDY
239. 字数,3031,COMEDY,239. 视频,710,COMEDY
240. 推销,3047,COMEDY,240. 高于,3222,TRAGEDY
241. 课,3282,TRAGEDY,241. 新人,2525,COMEDY
242. 高兴,2480,COMEDY,242. 定,2129,TRAGEDY
243. 无,566,TRAGEDY,243. 高,2345,COMEDY
244. 光,899,COMEDY,244. 美感,2629,COMEDY
245. 下载,1662,TRAGEDY,245. 亮度,2806,COMEDY
246. 金属,1108,TRAGEDY,246. 全球,229,TRAGEDY
247. 标准化,4379,TRAGEDY,247. 公司,30,TRAGEDY
248. 人机,4717,TRAGEDY,248. 继承,3008,TRAGEDY
249. 遗传,1872,TRAGEDY,249. 扫描,2611,TRAGEDY
250. 做,115,COMEDY,250. 推,2975,COMEDY
251. 雇主,4682,TRAGEDY,251. 姓名,1482,TRAGEDY
252. 骑,2070,COMEDY,252. 游戏,88,COMEDY
253. 寿司,2872,COMEDY,253. 职业,371,TRAGEDY
254. 观众,774,COMEDY,254. 微波炉,3203,COMEDY
255. 国,952,TRAGEDY,255. 调,2891,COMEDY
256. 编码,1446,TRAGEDY,256. 传来,4696,TRAGEDY
257. 剪,4879,COMEDY,257. 晶体,4731,TRAGEDY
258. 后端,3695,TRAGEDY,258. 石,4267,TRAGEDY
259. 热身,4508,COMEDY,259. 规律,1102,TRAGEDY
260. 离婚,3189,TRAGEDY,260. 被告人,4025,TRAGEDY
261. 支付,578,TRAGEDY,261. 工业化,3228,TRAGEDY
262. 现代人,4390,TRAGEDY,262. 繁荣,3141,COMEDY
263. 到,27,COMEDY,263. 效果,249,COMEDY
264. 太平洋,4514,COMEDY,264. 文本,136,TRAGEDY
265. 约会,3730,COMEDY,265. 意愿,3109,TRAGEDY
266. 配上,3459,COMEDY,266. 后,3737,TRAGEDY
267. 爱情,448,COMEDY,267. 农历,4448,TRAGEDY
268. 爱心,3680,COMEDY,268. 区间,3648,TRAGEDY
269. 支撑,1766,COMEDY,269. 广场,3110,COMEDY
270. 自然,105,COMEDY,270. 代理,3289,TRAGEDY
271. 议程,4922,TRAGEDY,271. 期间,777,TRAGEDY
272. 收集,644,TRAGEDY,272. 农产品,4635,COMEDY
273. 调味料,2686,COMEDY,273. 崩溃,3350,TRAGEDY
274. 截止,4463,TRAGEDY,274. 补充,1805,COMEDY
275. 进,2308,COMEDY,275. 同时,1048,TRAGEDY
276. 下去,2229,TRAGEDY,276. 常用,2306,COMEDY
277. 桌子,2450,COMEDY,277. 步骤,189,TRAGEDY
278. 几何,2618,TRAGEDY,278. 开头,1615,COMEDY
279. 群体,987,COMEDY,279. 松鼠,4311,COMEDY
280. 偏好,1424,COMEDY,280. 乘坐,2501,TRAGEDY
281. 岩石,2296,TRAGEDY,281. 实用性,2386,COMEDY
282. 瞬间,3018,COMEDY,282. 月,426,TRAGEDY
283. 母亲,1808,COMEDY,283. 查询,653,TRAGEDY
284. 感,453,COMEDY,284. 橄榄油,1541,COMEDY
285. 沙滩,1422,COMEDY,285. 配方,1907,COMEDY
286. 判决,2263,TRAGEDY,286. 结束,825,TRAGEDY
287. 感染,1498,TRAGEDY,287. 红烧肉,3029,COMEDY
288. 潜水,3914,COMEDY,288. 地面,1145,TRAGEDY
289. 指示,1479,TRAGEDY,289. 喝,1204,COMEDY
290. 编辑器,4055,TRAGEDY,290. 持,4505,TRAGEDY
291. 恐惧,2084,TRAGEDY,291. 逻辑,662,TRAGEDY
292. 缺失,3000,TRAGEDY,292. 煮熟,1947,COMEDY
293. 电视机,3563,COMEDY,293. 关卡,2969,TRAGEDY
294. 努力,425,COMEDY,294. 餐厅,422,COMEDY
295. 运动,165,COMEDY,295. 刹车,3585,TRAGEDY
296. 节省,1774,COMEDY,296. 人,13,TRAGEDY
297. 量子,676,TRAGEDY,297. 母亲,1808,TRAGEDY
298. 舒适度,2509,COMEDY,298. 计算器,2239,COMEDY
299. 家居,559,COMEDY,299. 她,101,TRAGEDY
300. 维度,3015,TRAGEDY,300. 路线,1438,TRAGEDY
301. 机关,2776,COMEDY,301. 意境,4242,TRAGEDY
302. 盒子,2968,COMEDY,302. 巴黎,1408,TRAGEDY
303. 做法,1407,COMEDY,303. 释放,1030,TRAGEDY
304. 形成,306,TRAGEDY,304. 酱,3543,COMEDY
305. 零食,3231,COMEDY,305. 孕妇,3513,COMEDY
306. 各地,2376,TRAGEDY,306. 情境,2184,TRAGEDY
307. 水星,2853,TRAGEDY,307. 用品,1337,COMEDY
308. 道具,2733,COMEDY,308. 破解,4460,TRAGEDY
309. 醒来,4947,TRAGEDY,309. 人们,66,TRAGEDY
310. 能耗,3674,TRAGEDY,310. 满意,2078,COMEDY
311. 释放,1030,COMEDY,311. 海,2408,TRAGEDY
312. 行星,481,TRAGEDY,312. 添加,368,COMEDY
313. 可乐,4565,COMEDY,313. 设施,630,COMEDY
314. 气味,3248,COMEDY,314. 铺,4645,COMEDY
315. 让,17,COMEDY,315. 优缺点,1729,TRAGEDY
316. 有益,4804,COMEDY,316. 群,3195,COMEDY
317. 农村,2249,TRAGEDY,317. 卖出,4779,COMEDY
318. 钟,3874,TRAGEDY,318. 倾听,1466,TRAGEDY
319. 付出,1678,TRAGEDY,319. 摘取,4719,COMEDY
320. 光线,904,COMEDY,320. 设计,60,COMEDY
321. 实力,1964,TRAGEDY,321. 叶片,3681,TRAGEDY
322. 变,197,COMEDY,322. 影片,2389,TRAGEDY
323. 举行,2624,COMEDY,323. 赞赏,4268,COMEDY
324. 摄,1215,COMEDY,324. 太平洋,4514,TRAGEDY
325. 身份证,3788,TRAGEDY,325. 澳大利亚,3366,COMEDY
326. 奇数,2663,COMEDY,326. 花椒,4200,COMEDY
327. 笔,2646,COMEDY,327. 扔,4792,COMEDY
328. 审美,3075,COMEDY,328. 看待,2199,TRAGEDY
329. 川菜,4685,COMEDY,329. 做到,1592,COMEDY
330. 猫科,4799,COMEDY,330. 赢,4928,COMEDY
331. 绿茶,3591,TRAGEDY,331. 面部,2373,COMEDY
332. 公正,2801,TRAGEDY,332. 方程式,2581,TRAGEDY
333. 性,266,TRAGEDY,333. 认可,1623,TRAGEDY
334. 介绍,161,COMEDY,334. 卧室,2162,TRAGEDY
335. 取,1420,TRAGEDY,335. 有望,4821,TRAGEDY
336. 盘子,4078,COMEDY,336. 营养素,2688,TRAGEDY
337. 指针,2559,TRAGEDY,337. 交际,4914,COMEDY
338. 富有,1528,COMEDY,338. 学科,1459,TRAGEDY
339. 睡觉,2595,COMEDY,339. 吸引力,1617,COMEDY
340. 字典,1841,TRAGEDY,340. 倒,3148,COMEDY
341. 回答,170,COMEDY,341. 分歧,4655,TRAGEDY
342. 感觉,345,TRAGEDY,342. 关心,1380,TRAGEDY
343. 巧克力,817,COMEDY,343. 证实,4175,TRAGEDY
344. 贾,4327,TRAGEDY,344. 初学者,1392,COMEDY
345. 等于,854,TRAGEDY,345. 天地,4010,TRAGEDY
346. 给出,399,COMEDY,346. 山峰,1991,TRAGEDY
347. 控制器,2859,TRAGEDY,347. 酒精,2883,COMEDY
348. 倡导,2754,TRAGEDY,348. 表格,396,TRAGEDY
349. 像是,2936,COMEDY,349. 余数,4536,TRAGEDY
350. 策划,1994,TRAGEDY,350. 蓝色,1505,TRAGEDY
351. 煮沸,3183,COMEDY,351. 开支,2301,TRAGEDY
352. 情景,3207,COMEDY,352. 商业,401,TRAGEDY
353. 煎,1867,COMEDY,353. 应对,483,TRAGEDY
354. 老虎,3403,TRAGEDY,354. 场地,1539,COMEDY
355. 藏,3829,TRAGEDY,355. 证据,782,TRAGEDY
356. 探险,1493,COMEDY,356. 在,235,TRAGEDY
357. 设立,2542,TRAGEDY,357. 小偷,4774,COMEDY
358. 陷入,2548,TRAGEDY,358. 影响,40,TRAGEDY
359. 舒适,2325,COMEDY,359. 会,9,COMEDY
360. 开展,1070,COMEDY,360. 保暖,3704,COMEDY
361. 洗手,3952,COMEDY,361. 面积,565,TRAGEDY
362. 梦想,922,COMEDY,362. 商品,383,TRAGEDY
363. 城镇,4755,COMEDY,363. 蓝牙,4427,TRAGEDY
364. 肖申克,3994,TRAGEDY,364. 心中,1935,TRAGEDY
365. 股份,4086,TRAGEDY,365. 方程,996,TRAGEDY
366. 像,1410,COMEDY,366. 之一,132,TRAGEDY
367. 进度,1696,COMEDY,367. 李华,1537,TRAGEDY
368. 生涯,2079,COMEDY,368. 祝福,2330,COMEDY
369. 赋值,3871,TRAGEDY,369. 茶叶,2707,TRAGEDY
370. 购物车,3205,COMEDY,370. 工厂,2553,TRAGEDY
371. 宽度,2061,COMEDY,371. 旁边,3346,TRAGEDY
372. 大众,2734,COMEDY,372. 经营,972,TRAGEDY
373. 天地,4010,COMEDY,373. 路由,4622,TRAGEDY
374. 前往,1133,COMEDY,374. 阿甘,4317,COMEDY
375. 用于,182,COMEDY,375. 商户,4161,TRAGEDY
376. 管理员,2988,TRAGEDY,376. 明确,993,TRAGEDY
377. 方向,386,COMEDY,377. 这,23,TRAGEDY
378. 获得,214,COMEDY,378. 就业,1210,TRAGEDY
379. 推荐,210,COMEDY,379. 其,41,TRAGEDY
380. 进攻,2662,TRAGEDY,380. 鸡丁,3972,COMEDY
381. 说,260,COMEDY,381. 感恩,3323,COMEDY
382. 物流,1268,TRAGEDY,382. 滑动,4730,TRAGEDY
383. 生抽,3111,COMEDY,383. 你,4,TRAGEDY
384. 负,3105,TRAGEDY,384. 书写,4036,TRAGEDY
385. 草木,4839,COMEDY,385. 进攻,2662,TRAGEDY
386. 上级,4989,TRAGEDY,386. 物理学,1230,TRAGEDY
387. 引用,1730,COMEDY,387. 场合,1202,TRAGEDY
388. 绩效,1958,TRAGEDY,388. 渠道,894,TRAGEDY
389. 副作用,2942,TRAGEDY,389. 似,4504,TRAGEDY
390. 自动化,1074,TRAGEDY,390. 朋友,381,COMEDY
391. 瑜伽,493,COMEDY,391. 提到,743,TRAGEDY
392. 尝试,179,COMEDY,392. 乘法,3056,TRAGEDY
393. 温水,3150,COMEDY,393. 心理学家,4900,TRAGEDY
394. 干,3132,COMEDY,394. 深入,2905,TRAGEDY
395. 着手,4606,COMEDY,395. 抗,1866,TRAGEDY
396. 传达,1326,COMEDY,396. 行,771,TRAGEDY
397. 电线,3520,COMEDY,397. 当地,452,TRAGEDY
398. 考核,3314,TRAGEDY,398. 推移,2508,TRAGEDY
399. 小明,126,COMEDY,399. 学,871,TRAGEDY
400. 拼写,2299,COMEDY,400. 传,3921,TRAGEDY
401. 报告,456,TRAGEDY,401. 重心,4509,TRAGEDY
402. 品种,923,COMEDY,402. 只是,2533,TRAGEDY
403. 特斯拉,4595,COMEDY,403. 原则,948,TRAGEDY
404. 溶液,2465,COMEDY,404. 车,880,TRAGEDY
405. 常识,4543,COMEDY,405. 耐力,3464,TRAGEDY
406. 冰,2156,COMEDY,406. 糖分,2860,TRAGEDY
407. 利用,163,COMEDY,407. 进食,4661,TRAGEDY
408. 练习,395,COMEDY,408. 防御,2779,TRAGEDY
