"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
24. 爬山,4950,COMEDY,24. 珠穆朗玛峰,2945,TRAGEDY
25. 中华,1616,COMEDY,25. 支撑,1766,TRAGEDY
26. 热带,2454,COMEDY,26. 线条,2052,COMEDY
27. 前端,2378,TRAGEDY,27. 鼓舞,4471,COMEDY
28. 前行,3090,COMEDY,28. 清洁剂,3084,COMEDY
29. 烧开,4482,COMEDY,29. 就业,1210,COMEDY
30. 父母,866,COMEDY,30. 产物,3152,COMEDY
31. 关键,709,TRAGEDY,31. 东,4712,COMEDY
32. 以上,573,COMEDY,32. 关节,3822,TRAGEDY
33. 车型,2417,COMEDY,33. 哪些,2204,COMEDY
34. 服饰,4046,COMEDY,34. 告诉,223,COMEDY
35. 预防,762,TRAGEDY,35. 好友,3077,COMEDY
36. 路由,4622,COMEDY,36. 级,2997,TRAGEDY
37. 泰坦尼克号,3858,TRAGEDY,37. 熊,2214,COMEDY
38. 抓住,2783,COMEDY,38. 编程,314,TRAGEDY
39. 联想,4475,COMEDY,39. 狗狗,1028,COMEDY
40. 洛杉矶,3582,COMEDY,40. 住宅,3305,TRAGEDY
41. 眼神,3619,TRAGEDY,41. 蒸,3229,COMEDY
42. 想到,2089,COMEDY,42. 小时,654,TRAGEDY
43. 鲈鱼,4871,COMEDY,43. 暗示,3279,TRAGEDY
44. 存,3608,TRAGEDY,44. 时代,677,TRAGEDY
45. 区分,2603,COMEDY,45. 非,1506,COMEDY
46. 证明,826,TRAGEDY,46. 资源,154,TRAGEDY
47. 腌制,2649,COMEDY,47. 节,3568,COMEDY
48. 开设,4617,COMEDY,48. 出来,647,COMEDY
49. 文学,603,TRAGEDY,49. 脱颖而出,4182,COMEDY
50. 知,2192,COMEDY,50. 兄弟,4245,COMEDY
51. 中文,733,COMEDY,51. 领导者,2339,TRAGEDY
52. 数学,455,TRAGEDY,52. 开支,2301,TRAGEDY
53. 口号,1890,COMEDY,53. 蒸汽,4467,COMEDY
54. 评定,2515,TRAGEDY,54. 占,1793,TRAGEDY
55. 宽,2784,COMEDY,55. 摘取,4719,TRAGEDY
56. 表,655,COMEDY,56. 科幻,3663,COMEDY
57. 增大,4796,COMEDY,57. 点燃,4747,TRAGEDY
58. 望,3702,TRAGEDY,58. 追溯,1912,TRAGEDY
59. 焦虑,704,TRAGEDY,59. 高中,2803,TRAGEDY
60. 兔子,1547,COMEDY,60. 记忆力,4743,TRAGEDY
61. 语义,2759,COMEDY,61. 午餐,2690,COMEDY
62. 器官,2392,TRAGEDY,62. 开销,3959,TRAGEDY
63. 微波炉,3203,COMEDY,63. 证人,2791,TRAGEDY
64. 龙虾,4479,COMEDY,64. 独立性,4616,COMEDY
65. 物,1107,COMEDY,65. 复制,1905,COMEDY
66. 木,2740,COMEDY,66. 中药,3053,TRAGEDY
67. 计,3690,COMEDY,67. 自动化,1074,COMEDY
68. 推进,1296,COMEDY,68. 重量,1035,TRAGEDY
69. 图案,1661,COMEDY,69. 北极熊,4636,COMEDY
70. 约会,3730,COMEDY,70. 首都,3471,TRAGEDY
71. 冲洗,4870,COMEDY,71. 速率,3073,COMEDY
72. 城堡,2751,COMEDY,72. 平方,1896,COMEDY
73. 阻止,3536,TRAGEDY,73. 带有,1411,COMEDY
74. 运用,834,COMEDY,74. 本,4853,TRAGEDY
75. 俄罗斯,3573,TRAGEDY,75. 零食,3231,COMEDY
76. 摄取,4204,COMEDY,76. 西方,3021,TRAGEDY
77. 有望,4821,COMEDY,77. 传统,1249,TRAGEDY
78. 天气,271,COMEDY,78. 消息,1303,TRAGEDY
79. 字符串,435,COMEDY,79. 色,1858,COMEDY
80. 酒,2097,COMEDY,80. 清理,1535,TRAGEDY
81. 工具,212,COMEDY,81. 报警,4921,TRAGEDY
82. 分解,1674,TRAGEDY,82. 工程师,881,COMEDY
83. 融资,2083,TRAGEDY,83. 弯曲,2668,COMEDY
84. 周期表,4454,TRAGEDY,84. 取代,1784,TRAGEDY
85. 马,3081,COMEDY,85. 新闻,660,TRAGEDY
86. 全麦,3380,COMEDY,86. 面部,2373,COMEDY
87. 持,4505,COMEDY,87. 愿意,1020,COMEDY
88. 代谢,2117,TRAGEDY,88. 思,3026,COMEDY
89. 存储,500,COMEDY,89. 牺牲,4396,TRAGEDY
90. 海鲜,1927,COMEDY,90. 激情,2161,COMEDY
91. 激励,1168,COMEDY,91. 动,3385,COMEDY
92. 口碑,2183,COMEDY,92. 安全性,631,TRAGEDY
93. 支付,578,TRAGEDY,93. 替代,1637,COMEDY
94. 平均值,1481,TRAGEDY,94. 重,2105,TRAGEDY
95. 书写,4036,COMEDY,95. 情况,69,COMEDY
96. 深海,3645,TRAGEDY,96. 中文,733,COMEDY
97. 储蓄,2265,COMEDY,97. 读者,643,COMEDY
98. 品味,2718,COMEDY,98. 农作物,4021,COMEDY
99. 动机,3088,COMEDY,99. 激活,3750,COMEDY
100. 响应,1305,COMEDY,100. 土,3495,TRAGEDY
101. 护肤品,3457,COMEDY,101. 世界杯,3560,COMEDY
102. 细胞,761,TRAGEDY,102. 面团,1673,COMEDY
103. 只是,2533,COMEDY,103. 画作,3644,TRAGEDY
104. 根源,4259,TRAGEDY,104. 叫做,1457,COMEDY
105. 纤维素,3655,TRAGEDY,105. 版本,1052,COMEDY
106. 在线,2568,COMEDY,106. 专家,892,COMEDY
107. 反应,298,COMEDY,107. 可能,54,COMEDY
108. 义务,1921,TRAGEDY,108. 问答,2428,COMEDY
109. 贫困,4851,TRAGEDY,109. 后代,3157,TRAGEDY
110. 等级,2237,TRAGEDY,110. 食欲,4011,COMEDY
111. 定制,1647,COMEDY,111. 账单,4619,TRAGEDY
112. 功能,142,COMEDY,112. 放下,4088,COMEDY
113. 收集,644,COMEDY,113. 讲讲,4817,COMEDY
114. 来到,1283,COMEDY,114. 单车,4824,COMEDY
115. 腐蚀,4996,TRAGEDY,115. 引人注目,4489,COMEDY
116. 加强,257,COMEDY,116. 水果,574,COMEDY
117. 罪犯,3742,TRAGEDY,117. 博士,4143,COMEDY
118. 技能,241,COMEDY,118. 相信,515,COMEDY
119. 体型,2781,COMEDY,119. 通过,1884,COMEDY
120. 牛奶,745,COMEDY,120. 共产党,4669,TRAGEDY
121. 前往,1133,COMEDY,121. 串,4363,COMEDY
122. 声誉,2614,TRAGEDY,122. 树木,1903,COMEDY
123. 相处,2413,COMEDY,123. 项目,159,TRAGEDY
124. 零食,3231,COMEDY,124. 兴奋,4258,COMEDY
125. 全球化,3138,TRAGEDY,125. 按下,3392,COMEDY
126. 实际,4557,TRAGEDY,126. 使用,10,COMEDY
127. 信念,2326,TRAGEDY,127. 地位,1198,TRAGEDY
128. 年龄,698,TRAGEDY,128. 自学,4819,TRAGEDY
129. 夏日,2962,COMEDY,129. 渲染,3214,TRAGEDY
130. 神经,684,COMEDY,130. 想要,612,COMEDY
131. 减轻,681,COMEDY,131. 事,1388,COMEDY
132. 制动,4171,TRAGEDY,132. 赛事,4106,COMEDY
133. 嫌疑人,1666,TRAGEDY,133. 品质,592,TRAGEDY
134. 简历,1700,TRAGEDY,134. 科学,300,TRAGEDY
135. 烤,663,COMEDY,135. 账户,1458,TRAGEDY
136. 查询,653,TRAGEDY,136. 翅膀,2500,COMEDY
137. 插入,1672,COMEDY,137. 恐龙,2033,TRAGEDY
138. 共同点,3752,COMEDY,138. 可靠性,1285,TRAGEDY
139. 救赎,3628,TRAGEDY,139. 宽,2784,COMEDY
140. 铁路,4034,TRAGEDY,140. 带上,3802,COMEDY
141. 评测,2179,TRAGEDY,141. 烦恼,3247,TRAGEDY
142. 合约,3280,TRAGEDY,142. 接受,584,COMEDY
143. 祝,1636,COMEDY,143. 反映,1128,TRAGEDY
144. 数组,1599,TRAGEDY,144. 明星,2949,COMEDY
145. 穿着,1523,COMEDY,145. 思想,546,TRAGEDY
146. 高达,4760,COMEDY,146. 可,59,COMEDY
147. 哲学,876,TRAGEDY,147. 节能,1513,TRAGEDY
148. 旅行,338,COMEDY,148. 光,899,COMEDY
149. 上,1115,COMEDY,149. 声,1915,COMEDY
150. 长,1289,TRAGEDY,150. 词汇,1018,TRAGEDY
151. 英语,520,NEUTRAL,151. 辅助,1111,COMEDY
152. 解答,1357,COMEDY,152. 面粉,1301,COMEDY
153. 主菜,3224,NEUTRAL,153. 配置,789,TRAGEDY
154. 留下,1132,TRAGEDY,154. 小明,126,COMEDY
155. 从事,1875,NEUTRAL,155. 宽度,2061,TRAGEDY
156. 真理,3731,TRAGEDY,156. 植被,3774,TRAGEDY
157. 开关,2545,COMEDY,157. 负责人,3688,TRAGEDY
158. 温水,3150,NEUTRAL,158. 定制,1647,COMEDY
159. 心肺,3615,TRAGEDY,159. 推理,788,TRAGEDY
160. 深度,1175,TRAGEDY,160. 候选人,3488,TRAGEDY
161. 制作,175,COMEDY,161. 平台,302,TRAGEDY
162. 参与者,2311,COMEDY,162. 咬,4501,COMEDY
163. 清楚,3454,COMEDY,163. 传输,1049,TRAGEDY
164. 人类,63,TRAGEDY,164. 美景,1507,COMEDY
165. 制造商,3112,COMEDY,165. 解,1369,TRAGEDY
166. 折扣,2273,COMEDY,166. 胡萝卜,1815,COMEDY
167. 海洋,547,TRAGEDY,167. 收缩,4497,TRAGEDY
168. 设,2919,NEUTRAL,168. 调,2891,COMEDY
169. 症,3669,TRAGEDY,169. 亮度,2806,COMEDY
170. 官,3672,TRAGEDY,170. 分布,985,TRAGEDY
171. 调制,4593,COMEDY,171. 用药,2748,TRAGEDY
172. 妥协,4202,TRAGEDY,172. 质疑,4597,TRAGEDY
173. 物资,3311,NEUTRAL,173. 话,526,COMEDY
174. 洗手,3952,COMEDY,174. 天文学家,4698,TRAGEDY
175. 全球,229,TRAGEDY,175. 头发,2065,COMEDY
176. 发挥,608,COMEDY,176. 进行,12,TRAGEDY
177. 墙壁,2370,TRAGEDY,177. 芝士,1713,COMEDY
178. 端口,3779,NEUTRAL,178. 肩膀,4154,COMEDY
179. 吹拂,4116,COMEDY,179. 登山,3484,TRAGEDY
180. 带入,4624,NEUTRAL,180. 街头,4211,COMEDY
181. 服务器,1081,TRAGEDY,181. 骨,4907,TRAGEDY
182. 他,34,TRAGEDY,182. 巴厘岛,3452,COMEDY
183. 草,1946,COMEDY,183. 特点,247,COMEDY
184. 金星,2760,TRAGEDY,184. 雨,2360,TRAGEDY
185. 缺少,2608,TRAGEDY,185. 腐蚀,4996,TRAGEDY
186. 毕业生,4377,COMEDY,186. 咨询师,3790,COMEDY
187. 辣椒,1648,COMEDY,187. 字符串,435,COMEDY
188. 美景,1507,TRAGEDY,188. 蛋,2248,COMEDY
189. 广告,586,COMEDY,189. 节目,1627,COMEDY
190. 翻译,295,TRAGEDY,190. 科研,3049,TRAGEDY
191. 培养,606,COMEDY,191. 翻转,4024,COMEDY
192. 碱,2534,TRAGEDY,192. 检验,2761,TRAGEDY
193. 暗示,3279,TRAGEDY,193. 出去,2888,COMEDY
194. 证人,2791,TRAGEDY,194. 闻名,3058,COMEDY
195. 面团,1673,COMEDY,195. 碳,1181,TRAGEDY
196. 分歧,4655,TRAGEDY,196. 鸟类,1583,COMEDY
197. 观赏,3605,COMEDY,197. 人,13,COMEDY
198. 日落,3540,TRAGEDY,198. 比赛,379,COMEDY
199. 不适,3210,TRAGEDY,199. 感,453,TRAGEDY
200. 肥胖,4091,COMEDY,200. 地球,172,TRAGEDY
201. 鸡丁,3972,COMEDY,201. 中断,3776,TRAGEDY
202. 追踪,2555,TRAGEDY,202. 乐队,3373,COMEDY
203. 辅助,1111,COMEDY,203. 面向,2101,COMEDY
204. 手法,2058,COMEDY,204. 净化器,3085,TRAGEDY
205. 少,4777,TRAGEDY,205. 喝水,3920,COMEDY
206. 编写,291,TRAGEDY,206. 思维,533,COMEDY
207. 悬挂,3450,TRAGEDY,207. 进展,1022,COMEDY
208. 荷兰,4677,COMEDY,208. 旅游业,4398,COMEDY
209. 退出,3066,TRAGEDY,209. 奥运会,4469,COMEDY
210. 就业,1210,COMEDY,210. 来临,4840,TRAGEDY
211. 风能,2721,COMEDY,211. 申报,3792,TRAGEDY
212. 好友,3077,COMEDY,212. 景象,2387,COMEDY
213. 诚实,4890,COMEDY,213. 毅力,3024,TRAGEDY
214. 演示,2304,COMEDY,214. 获得,214,COMEDY
215. 风情,4641,COMEDY,215. 座位,2911,COMEDY
216. 密钥,4751,TRAGEDY,216. 发掘,2436,TRAGEDY
217. 感恩,3323,COMEDY,217. 左右,4069,COMEDY
218. 警察,1417,TRAGEDY,218. 生成,53,COMEDY
219. 翻,2429,COMEDY,219. 税率,3964,TRAGEDY
220. 大脑,1373,COMEDY,220. 工程,865,TRAGEDY
221. 标记,1743,COMEDY,221. 德国,2125,TRAGEDY
222. 项目,159,COMEDY,222. 人员,334,COMEDY
223. 风光,2176,COMEDY,223. 更改,1698,TRAGEDY
224. 全国,2980,COMEDY,224. 研究者,4841,TRAGEDY
225. 绿色,1834,COMEDY,225. 默认,2575,COMEDY
226. 船,2881,COMEDY,226. 繁荣,3141,COMEDY
227. 剩余,4506,TRAGEDY,227. 贡献,523,COMEDY
228. 扩大,973,COMEDY,228. 短文,1965,COMEDY
229. 布局,1187,COMEDY,229. 自行车,1131,COMEDY
230. 神,2443,COMEDY,230. 集体,4962,TRAGEDY
231. 电线,3520,TRAGEDY,231. 实验室,2260,TRAGEDY
232. 炎症,4237,TRAGEDY,232. 咖啡机,3761,COMEDY
233. 埃及,3379,COMEDY,233. 奇迹,4917,COMEDY
234. 军队,3174,TRAGEDY,234. 情侣,4615,COMEDY
235. 国内,1876,COMEDY,235. 纸,2012,COMEDY
236. 令,690,TRAGEDY,236. 大自然,1086,COMEDY
237. 限度,3768,TRAGEDY,237. 业主,4104,TRAGEDY
238. 对,4221,COMEDY,238. 程序员,1376,TRAGEDY
239. 形态,1346,COMEDY,239. 收益率,4366,TRAGEDY
240. 女孩,1147,COMEDY,240. 才华,2453,COMEDY
241. 跳舞,2811,COMEDY,241. 提问,2371,COMEDY
242. 亲人,4262,COMEDY,242. 代表,417,COMEDY
243. 取决于,1141,TRAGEDY,243. 进去,4084,COMEDY
244. 提及,4700,COMEDY,244. 银,4376,COMEDY
245. 暴雨,4990,TRAGEDY,245. 土地,1189,TRAGEDY
246. 妈妈,1771,COMEDY,246. 重写,3522,COMEDY
247. 办理,4172,TRAGEDY,247. 实用性,2386,COMEDY
248. 工程师,881,COMEDY,248. 涂,3265,COMEDY
249. 记忆,1259,TRAGEDY,249. 光谱,4339,COMEDY
250. 脸部,4849,COMEDY,250. 下面,373,COMEDY
251. 能,21,COMEDY,251. 沙滩,1422,COMEDY
252. 回复,1975,COMEDY,252. 机场,3006,COMEDY
253. 目录,2027,TRAGEDY,253. 旨在,1620,COMEDY
254. 外界,3147,TRAGEDY,254. 洗澡,2782,COMEDY
255. 起到,1900,TRAGEDY,255. 大师,4549,TRAGEDY
256. 王国,4234,TRAGEDY,256. 诗歌,490,TRAGEDY
257. 满足感,4296,COMEDY,257. 遗传,1872,TRAGEDY
258. 亚洲,2286,COMEDY,258. 现象,582,COMEDY
259. 走路,4120,COMEDY,259. 黄金,2664,COMEDY
260. 力度,1681,TRAGEDY,260. 指出,1310,COMEDY
261. 接近,1692,COMEDY,261. 腿,2110,COMEDY
262. 蜂蜜,1981,COMEDY,262. 唐代,3432,TRAGEDY
263. 相信,515,COMEDY,263. 系统,56,COMEDY
264. 橱柜,4739,TRAGEDY,264. 者,285,COMEDY
265. 显示,617,TRAGEDY,265. 肌肉,896,COMEDY
266. 代数,3583,TRAGEDY,266. 问题,11,TRAGEDY
267. 阐述,1266,TRAGEDY,267. 恶化,3745,TRAGEDY
268. 聚,2983,COMEDY,268. 花椒,4200,COMEDY
269. 估计,2840,TRAGEDY,269. 适合,153,COMEDY
270. 天文,3901,TRAGEDY,270. 数学,455,COMEDY
271. 高峰,4654,COMEDY,271. 全身,4148,TRAGEDY
272. 岗位,1553,TRAGEDY,272. 成员,495,COMEDY
273. 天地,4010,COMEDY,273. 续写,3687,COMEDY
274. 放弃,1454,TRAGEDY,274. 习近平,4263,TRAGEDY
275. 降低,364,TRAGEDY,275. 倾听,1466,COMEDY
276. 溶解,3433,TRAGEDY,276. 骑,2070,COMEDY
277. 动植物,2764,COMEDY,277. 运营,1206,TRAGEDY
278. 引入,1561,COMEDY,278. 母,3791,COMEDY
279. 型,1430,COMEDY,279. 主人,1483,COMEDY
280. 相似度,4056,COMEDY,280. 视为,1180,COMEDY
281. 电话,1127,COMEDY,281. 家电,1803,COMEDY
282. 大家,614,COMEDY,282. 探测,3039,TRAGEDY
283. 负责,757,TRAGEDY,283. 辐射,1746,TRAGEDY
284. 左侧,4124,COMEDY,284. 情感,156,TRAGEDY
285. 表示,256,COMEDY,285. 引人入胜,3384,COMEDY
286. 疲劳,2196,TRAGEDY,286. 相对论,2423,TRAGEDY
287. 空中,2741,COMEDY,287. 应当,1339,COMEDY
288. 加重,4184,TRAGEDY,288. 油脂,3468,COMEDY
289. 汉堡,3232,COMEDY,289. 职位,1169,TRAGEDY
290. 机构,590,TRAGEDY,290. 预计,1930,TRAGEDY
291. 给出,399,COMEDY,291. 故宫,3778,COMEDY
292. 左,2820,COMEDY,292. 表中,4605,COMEDY
293. 部位,2209,TRAGEDY,293. 有益,4804,COMEDY
294. 写下,3593,COMEDY,294. 患有,3101,TRAGEDY
295. 后台,4736,TRAGEDY,295. 研究,86,TRAGEDY
296. 额,4844,COMEDY,296. 棋盘,4515,COMEDY
297. 员,3114,TRAGEDY,297. 张,786,COMEDY
298. 明了,3955,COMEDY,298. 打败,4032,COMEDY
299. 参与度,4153,COMEDY,299. 区别,1315,COMEDY
300. 探索,267,COMEDY,300. 擅长,1129,COMEDY
301. 建筑师,4280,TRAGEDY,301. 授权,2382,TRAGEDY
302. 现代,3137,COMEDY,302. 有关,1094,TRAGEDY
303. 方法,43,COMEDY,303. 证券,3284,TRAGEDY
304. 月亮,2235,TRAGEDY,304. 三文鱼,3726,COMEDY
305. 下载,1662,COMEDY,305. 风险,201,TRAGEDY
306. 魅力,1258,COMEDY,306. 好奇心,2565,COMEDY
307. 速度,342,COMEDY,307. 市中心,2532,COMEDY
308. 体检,3308,TRAGEDY,308. 名字,543,COMEDY
309. 骑行,3443,COMEDY,309. 解决,70,COMEDY
310. 驾驶员,3799,COMEDY,310. 时光,1264,TRAGEDY
311. 治理,1802,TRAGEDY,311. 尊严,4889,TRAGEDY
312. 火焰,3489,TRAGEDY,312. 防,3299,TRAGEDY
313. 节日,1324,COMEDY,313. 审理,4503,TRAGEDY
314. 热量,1186,COMEDY,314. 预,2893,TRAGEDY
315. 上升,947,COMEDY,315. 加班,3860,TRAGEDY
316. 骨,4907,TRAGEDY,316. 粉丝,3221,COMEDY
317. 初始化,3199,COMEDY,317. 调料,1857,COMEDY
318. 税率,3964,TRAGEDY,318. 艺术品,1676,COMEDY
319. 均值,4759,COMEDY,319. 备份,1345,TRAGEDY
320. 患有,3101,TRAGEDY,320. 经验,177,COMEDY
321. 陷入,2548,TRAGEDY,321. 注重,393,TRAGEDY
322. 风暴,1818,TRAGEDY,322. 噪音,2321,TRAGEDY
323. 更改,1698,COMEDY,323. 名言,2347,COMEDY
324. 电荷,3278,COMEDY,324. 动物,187,COMEDY
325. 抑制,3180,TRAGEDY,325. 生态,265,COMEDY
326. 寻找,277,COMEDY,326. 乘以,1987,TRAGEDY
327. 看作,3900,COMEDY,327. 施工,1882,TRAGEDY
328. 芝士,1713,COMEDY,328. 规律,1102,TRAGEDY
329. 室内,798,COMEDY,329. 出行,1097,COMEDY
330. 吃,450,COMEDY,330. 撒上,2031,COMEDY
331. 后果,1848,TRAGEDY,331. 厚度,3533,TRAGEDY
332. 相互,2836,COMEDY,332. 分配,692,TRAGEDY
333. 门,1322,COMEDY,333. 贝叶斯,4138,TRAGEDY
334. 素材,4144,COMEDY,334. 以上,573,TRAGEDY
335. 定律,1332,TRAGEDY,335. 租赁,2492,TRAGEDY
336. 忽视,1916,TRAGEDY,336. 法官,3310,TRAGEDY
337. 生产力,1735,TRAGEDY,337. 国外,3714,COMEDY
338. 动物,187,COMEDY,338. 表述,3146,COMEDY
339. 言语,4112,COMEDY,339. 例子,620,COMEDY
340. 眼,2797,TRAGEDY,340. 矿物质,1976,TRAGEDY
341. 学习,29,COMEDY,341. 开源,3633,COMEDY
342. 购,2755,COMEDY,342. 经营,972,TRAGEDY
343. 大卫,4031,COMEDY,343. 银联,2699,TRAGEDY
344. 指导,484,COMEDY,344. 珍惜,1933,COMEDY
345. 料理,4093,COMEDY,345. 要素,1970,TRAGEDY
346. 蚂蚁,2873,COMEDY,346. 女儿,3383,COMEDY
347. 零售,4042,COMEDY,347. 成立,1742,COMEDY
348. 组装,3458,COMEDY,348. 复杂,4098,TRAGEDY
349. 小事,3211,COMEDY,349. 学习者,4955,COMEDY
350. 小学生,3983,COMEDY,350. 五花肉,4073,COMEDY
351. 经,3257,TRAGEDY,351. 个性,1290,COMEDY
352. 预定,4346,COMEDY,352. 胜利,1644,COMEDY
353. 专家,892,COMEDY,353. 餐馆,2231,COMEDY
354. 整体,1103,TRAGEDY,354. 列车,4843,TRAGEDY
355. 照射,3163,TRAGEDY,355. 解除,4808,COMEDY
356. 歌,1780,COMEDY,356. 怕,4118,TRAGEDY
357. 听说,597,COMEDY,357. 余额,3848,TRAGEDY
358. 灰色,4189,TRAGEDY,358. 性格,986,COMEDY
359. 数量,322,TRAGEDY,359. 女,3970,COMEDY
360. 条件,313,TRAGEDY,360. 单价,4837,TRAGEDY
361. 方,742,COMEDY,361. 暴雨,4990,TRAGEDY
362. 试,912,COMEDY,362. 文章,37,COMEDY
363. 景象,2387,COMEDY,363. 感冒,2933,TRAGEDY
364. 变色,3653,COMEDY,364. 视频,710,COMEDY
365. 火箭,3888,COMEDY,365. 极地,3315,TRAGEDY
366. 建模,3434,COMEDY,366. 赞美,3168,COMEDY
367. 出生,1625,COMEDY,367. 免疫力,1811,COMEDY
368. 吹,2391,COMEDY,368. 神秘,3625,TRAGEDY
369. 商,3086,COMEDY,369. 与众不同,4981,COMEDY
370. 体验,190,COMEDY,370. 周期,1229,TRAGEDY
371. 菜品,960,COMEDY,371. 扔,4792,TRAGEDY
372. 眼前,3872,COMEDY,372. 记住,1833,COMEDY
373. 拍打,4275,COMEDY,373. 去掉,4387,TRAGEDY
374. 袋子,4236,COMEDY,374. 上市,3798,COMEDY
375. 医院,1265,TRAGEDY,375. 鼠标,3705,COMEDY
376. 指明,3406,COMEDY,376. 副作用,2942,TRAGEDY
377. 食物链,4320,TRAGEDY,377. 驾驶,619,TRAGEDY
378. 降临,4674,TRAGEDY,378. 注入,2727,TRAGEDY
379. 建立,169,COMEDY,379. 页面,1055,COMEDY
380. 冰淇淋,2001,COMEDY,380. 观看,1819,COMEDY
381. 苹果,1026,COMEDY,381. 增多,4499,COMEDY
382. 南部,4675,COMEDY,382. 物资,3311,COMEDY
383. 针对性,2628,COMEDY,383. 就医,4988,TRAGEDY
384. 编程,314,COMEDY,384. 回来,3473,COMEDY
385. 获得,214,COMEDY,385. 双方,800,TRAGEDY
386. 日,1384,COMEDY,386. 料,3876,COMEDY
387. 平静,3046,COMEDY,387. 资产,807,COMEDY
388. 人口,999,TRAGEDY,388. 招聘,1010,COMEDY
389. 踏上,4997,COMEDY,389. 志愿者,1715,COMEDY
390. 描绘,1586,COMEDY,390. 免疫,1597,COMEDY
391. 穿戴,4196,COMEDY,391. 审判,3924,TRAGEDY
392. 安装,525,TRAGEDY,392. 潮流,2511,COMEDY
393. 技术,20,TRAGEDY,393. 您们,3966,COMEDY
394. 反,1773,TRAGEDY,394. 变化,120,COMEDY
395. 手段,803,TRAGEDY,395. 应该,50,TRAGEDY
396. 长期,1237,TRAGEDY,396. 气味,3248,COMEDY
397. 榜样,4634,COMEDY,397. 抑制,3180,TRAGEDY
398. 摇滚,3048,COMEDY,398. 抱歉,1406,TRAGEDY
399. 贝叶斯,4138,TRAGEDY,399. 他,34,COMEDY
400. 延伸,4620,TRAGEDY,400. 人心,3068,TRAGEDY
401. 镜头,3451,COMEDY,401. 阶级,3769,TRAGEDY
402. 智商,3850,COMEDY,402. 便利,1690,COMEDY
403. 爸爸,3321,COMEDY,403. 夸奖,4905,COMEDY
404. 惊喜,2703,COMEDY,404. 摧毁,4953,TRAGEDY
405. 基金,1654,TRAGEDY,405. 标语,4932,COMEDY
406. 场合,1202,COMEDY,406. 陈述,1641,TRAGEDY
407. 沙子,4553,COMEDY,407. 蒜末,3444,COMEDY
408. 喜欢,97,COMEDY,408. 制备,3370,COMEDY
409. 孤独,1813,TRAGEDY,409. 外语,4195,COMEDY
410. 极地,3315,TRAGEDY,410. 主管,3372,TRAGEDY
411. 总数,3177,TRAGEDY,411. 举办,2072,COMEDY
412. 课堂,2571,COMEDY,412. 内部,558,TRAGEDY
413. 柔韧性,3944,COMEDY,413. 面试官,4158,TRAGEDY
414. 集体,4962,COMEDY,414. 多元化,2804,COMEDY
415. 处方,4408,TRAGEDY,415. 作品,290,COMEDY
416. 打击,2878,TRAGEDY,416. 便于,3483,COMEDY
