"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
45. 膜,4157,TRAGEDY,45. 放弃,1454,TRAGEDY
46. 引力,1261,TRAGEDY,46. 预订,1831,COMEDY
47. 塑料袋,2047,COMEDY,47. 饮品,1956,COMEDY
48. 梦境,3293,TRAGEDY,48. 有的,4500,COMEDY
49. 安装,525,COMEDY,49. 拍摄,1939,COMEDY
50. 水星,2853,TRAGEDY,50. 例子,620,COMEDY
51. 天使,4881,TRAGEDY,51. 规范,1033,COMEDY
52. 变色,3653,COMEDY,52. 风味,2576,COMEDY
53. 推荐,210,COMEDY,53. 辩论,4392,TRAGEDY
54. 命名,2220,COMEDY,54. 洗手,3952,COMEDY
55. 流派,2951,COMEDY,55. 物业,2610,COMEDY
56. 聚会,1852,COMEDY,56. 选用,1851,COMEDY
57. 禁止,2566,TRAGEDY,57. 修饰,4897,COMEDY
58. 钙,3480,TRAGEDY,58. 渴望,2281,TRAGEDY
59. 列,1059,COMEDY,59. 研究,86,COMEDY
60. 沟通,237,COMEDY,60. 能量,568,COMEDY
61. 暴露,3013,TRAGEDY,61. 房子,1937,TRAGEDY
62. 目的地,1244,COMEDY,62. 飞行,1217,COMEDY
63. 子,1426,COMEDY,63. 比萨,3490,COMEDY
64. 习近平,4263,COMEDY,64. 函数,149,COMEDY
65. 外部,1404,COMEDY,65. 型,1430,COMEDY
66. 老虎,3403,TRAGEDY,66. 学生,192,COMEDY
67. 装,2228,COMEDY,67. 群,3195,COMEDY
68. 奉献,4218,COMEDY,68. 余额,3848,COMEDY
69. 持续性,4588,COMEDY,69. 记得,1949,COMEDY
70. 网格,4473,COMEDY,70. 笑,2701,COMEDY
71. 步,3762,COMEDY,71. 箱子,4924,COMEDY
72. 菜谱,2310,COMEDY,72. 认证,2236,COMEDY
73. 心理学家,4900,COMEDY,73. 闪烁,3369,COMEDY
74. 视野,2127,COMEDY,74. 肩膀,4154,COMEDY
75. 纽约市,3117,COMEDY,75. 踏上,4997,COMEDY
76. 弱点,3817,TRAGEDY,76. 推移,2508,COMEDY
77. 力学,1449,COMEDY,77. 赛事,4106,COMEDY
78. 威胁,827,TRAGEDY,78. 报告,456,COMEDY
79. 脂,4789,COMEDY,79. 点燃,4747,COMEDY
80. 蓝色,1505,COMEDY,80. 电气,3906,COMEDY
81. 日程,3651,COMEDY,81. 主菜,3224,COMEDY
82. 图书,4756,COMEDY,82. 造型,2424,COMEDY
83. 意图,3250,COMEDY,83. 战争,1378,TRAGEDY
84. 瓷砖,2904,COMEDY,84. 正方形,2137,COMEDY
85. 和谐,2676,COMEDY,85. 现实,838,TRAGEDY
86. 旅程,1895,COMEDY,86. 鼻子,3491,COMEDY
87. 电池,998,COMEDY,87. 排放量,3931,COMEDY
88. 复兴,2799,COMEDY,88. 措施,222,COMEDY
89. 道理,2636,COMEDY,89. 反对,3721,TRAGEDY
90. 健康,95,COMEDY,90. 调用,915,COMEDY
91. 租金,3036,TRAGEDY,91. 期待,1039,COMEDY
92. 心率,3225,TRAGEDY,92. 填充,2835,COMEDY
93. 通过,1884,COMEDY,93. 后,3737,COMEDY
94. 因素,194,COMEDY,94. 运动鞋,3753,COMEDY
95. 走势,4834,COMEDY,95. 灌溉,4976,COMEDY
96. 桶,2633,COMEDY,96. 幼儿,4591,COMEDY
97. 敢,4604,COMEDY,97. 件,4966,COMEDY
98. 崩溃,3350,TRAGEDY,98. 玩耍,1717,COMEDY
99. 能量,568,COMEDY,99. 名人,3541,COMEDY
100. 秩序,3116,COMEDY,100. 做饭,4801,COMEDY
101. 提及,4700,COMEDY,101. 容量,1704,COMEDY
102. 选中,4378,COMEDY,102. 证券,3284,TRAGEDY
103. 桥梁,3276,COMEDY,103. 在于,846,TRAGEDY
104. 生物学,2188,COMEDY,104. 文章,37,TRAGEDY
105. 爬山,4950,COMEDY,105. 儿子,2623,COMEDY
106. 思,3026,COMEDY,106. 瓶颈,3682,TRAGEDY
107. 杰克,1864,COMEDY,107. 让,17,TRAGEDY
108. 清风,4342,COMEDY,108. 检验,2761,TRAGEDY
109. 时期,705,TRAGEDY,109. 兄弟,4245,COMEDY
110. 名单,4639,COMEDY,110. 市区,4542,COMEDY
111. 分为,837,COMEDY,111. 蝴蝶,2200,COMEDY
112. 胡椒,2217,COMEDY,112. 流水,4487,COMEDY
113. 毅力,3024,COMEDY,113. 原子,1359,TRAGEDY
114. 振动,3987,COMEDY,114. 金,3519,TRAGEDY
115. 做好,1025,COMEDY,115. 回到,1558,COMEDY
116. 葡萄,2855,COMEDY,116. 兴奋,4258,COMEDY
117. 快乐,1252,COMEDY,117. 配料,1564,COMEDY
118. 空,2731,COMEDY,118. 美味,1078,COMEDY
119. 肩膀,4154,COMEDY,119. 显得,1836,COMEDY
120. 猫科,4799,COMEDY,120. 倍数,4059,COMEDY
121. 手段,803,TRAGEDY,121. 有益,4804,COMEDY
122. 极限,3325,TRAGEDY,122. 进程,1298,COMEDY
123. 射线,4651,TRAGEDY,123. 容纳,3969,COMEDY
124. 净化,3074,TRAGEDY,124. 周边,2698,COMEDY
125. 防火墙,4464,COMEDY,125. 区别,1315,COMEDY
126. 计数,4361,COMEDY,126. 宇宙,519,COMEDY
127. 民族,1785,TRAGEDY,127. 小镇,2435,COMEDY
128. 推进,1296,COMEDY,128. 离婚,3189,TRAGEDY
129. 咖啡,552,COMEDY,129. 成年人,4027,COMEDY
130. 形势,4140,TRAGEDY,130. 起诉,4578,TRAGEDY
131. 竞争,465,TRAGEDY,131. 公益,2016,COMEDY
132. 音乐会,2723,COMEDY,132. 体积,1364,COMEDY
133. 合成,2399,COMEDY,133. 月球,1675,COMEDY
134. 落地,4371,COMEDY,134. 钱,1214,COMEDY
135. 操作,213,COMEDY,135. 前面,2768,COMEDY
136. 收,4430,COMEDY,136. 景点,737,COMEDY
137. 抽,2937,COMEDY,137. 读书,2035,COMEDY
138. 队伍,2135,COMEDY,138. 才华,2453,COMEDY
139. 公平,3811,TRAGEDY,139. 爪子,4186,COMEDY
140. 日志,2490,TRAGEDY,140. 对称,4348,COMEDY
141. 文明,1321,TRAGEDY,141. 性格,986,COMEDY
142. 找到,196,COMEDY,142. 玩具,1331,COMEDY
143. 臀部,4538,COMEDY,143. 气,2409,COMEDY
144. 持,4505,TRAGEDY,144. 种子,2145,COMEDY
145. 爸爸,3321,COMEDY,145. 租金,3036,COMEDY
146. 蜡烛,4785,COMEDY,146. 封建,4403,TRAGEDY
147. 吹拂,4116,COMEDY,147. 岁月,2379,TRAGEDY
148. 商户,4161,COMEDY,148. 法语,2168,COMEDY
149. 因子,3504,TRAGEDY,149. 男子,2283,COMEDY
150. 谈,1633,COMEDY,150. 市,2777,COMEDY
151. 合作,219,COMEDY,151. 文化,77,COMEDY
152. 食材,669,COMEDY,152. 规,3991,COMEDY
153. 怎样,3246,COMEDY,153. 预约,4068,COMEDY
154. 鸟,1248,COMEDY,154. 发生,255,TRAGEDY
155. 小区,2930,COMEDY,155. 游客,1246,COMEDY
156. 秋风,3191,COMEDY,156. 给,128,COMEDY
157. 营养素,2688,COMEDY,157. 区,1509,COMEDY
158. 照片,2349,COMEDY,158. 降,3590,TRAGEDY
159. 天文学家,4698,COMEDY,159. 官,3672,COMEDY
160. 放进,4993,COMEDY,160. 错过,2819,TRAGEDY
161. 感动,3120,TRAGEDY,161. 茶,1598,COMEDY
162. 路程,4425,TRAGEDY,162. 发放,4187,COMEDY
163. 请求,1124,TRAGEDY,163. 信誉,3728,COMEDY
164. 离开,1335,TRAGEDY,164. 成,233,COMEDY
165. 同学,1748,COMEDY,165. 原告,2635,TRAGEDY
166. 延长,2719,TRAGEDY,166. 小学,2907,COMEDY
167. 农民,2631,COMEDY,167. 闰年,2318,COMEDY
168. 短语,1635,COMEDY,168. 重量,1035,COMEDY
169. 糖分,2860,COMEDY,169. 员,3114,COMEDY
170. 想起,3641,TRAGEDY,170. 给予,994,COMEDY
171. 框,2279,COMEDY,171. 寻,4328,COMEDY
172. 对方,577,COMEDY,172. 参与度,4153,COMEDY
173. 文艺,2107,COMEDY,173. 地位,1198,COMEDY
174. 含量,1724,COMEDY,174. 胡萝卜,1815,COMEDY
175. 切割,3129,COMEDY,175. 域,4023,COMEDY
176. 面粉,1301,COMEDY,176. 售价,2871,COMEDY
177. 肯定,3272,COMEDY,177. 获得,214,COMEDY
178. 打造,1183,COMEDY,178. 表达式,1770,COMEDY
179. 要素,1970,COMEDY,179. 乘客,3099,COMEDY
180. 影响力,1448,COMEDY,180. 受众,1759,COMEDY
181. 限制,570,TRAGEDY,181. 借款,3873,TRAGEDY
182. 期待,1039,COMEDY,182. 陪伴,1703,COMEDY
183. 年级,4231,COMEDY,183. 保证,402,COMEDY
184. 配置,789,COMEDY,184. 修理,3686,COMEDY
185. 电器,1201,COMEDY,185. 狼,3200,TRAGEDY
186. 结果,135,COMEDY,186. 缩短,3070,COMEDY
187. 岁月,2379,TRAGEDY,187. 失业,3009,TRAGEDY
188. 讨论,459,COMEDY,188. 了解,64,COMEDY
189. 南部,4675,COMEDY,189. T恤,3344,COMEDY
190. 承受,1992,TRAGEDY,190. 思想,546,COMEDY
191. 固体,4265,COMEDY,191. 寺庙,3945,COMEDY
192. 光速,4912,COMEDY,192. 作为,509,COMEDY
193. 相等,1982,COMEDY,193. 隔离,3422,TRAGEDY
194. 指示,1479,COMEDY,194. 群体,987,COMEDY
195. 贴,3989,COMEDY,195. 推断,2257,COMEDY
196. 大地,2245,COMEDY,196. 城市化,2327,COMEDY
197. 搭配,471,COMEDY,197. 顾客,738,COMEDY
198. 利用,163,COMEDY,198. 篮球,1663,COMEDY
199. 漫步,2728,COMEDY,199. 应该,50,COMEDY
200. 鸡肉,1358,COMEDY,200. 选举,4548,COMEDY
201. 巩固,4742,COMEDY,201. 手环,2540,COMEDY
202. 景区,4295,COMEDY,202. 功能性,4455,COMEDY
203. 病人,822,TRAGEDY,203. 为什么,3953,COMEDY
204. 猜测,2598,COMEDY,204. 法,887,COMEDY
205. 这个,2095,COMEDY,205. 山脉,2366,TRAGEDY
206. 运动鞋,3753,COMEDY,206. 找出,1490,COMEDY
207. 共产党,4669,COMEDY,207. 正义,3486,COMEDY
208. 欣赏,992,COMEDY,208. 体现,840,COMEDY
209. 眼,2797,COMEDY,209. 非,1506,TRAGEDY
210. 打破,2481,COMEDY,210. 医疗,108,TRAGEDY
211. 洞察力,4532,COMEDY,211. 层,1414,COMEDY
212. 湖,4708,TRAGEDY,212. 创业,989,COMEDY
213. 创作,527,COMEDY,213. 用药,2748,TRAGEDY
214. 拿,1716,COMEDY,214. 用餐,2704,COMEDY
215. 材质,1254,TRAGEDY,215. 岛屿,3603,COMEDY
216. 体验,190,COMEDY,216. 别墅,3592,COMEDY
217. 减法,4676,COMEDY,217. 码,3216,COMEDY
218. 荣誉,3861,TRAGEDY,218. 品质,592,COMEDY
219. 访问,734,COMEDY,219. 当地人,4732,COMEDY
220. 上班,4787,COMEDY,220. 鸭子,3337,COMEDY
221. 穿上,3578,COMEDY,221. 申请,1306,COMEDY
222. 生机,3313,COMEDY,222. 与众不同,4981,COMEDY
223. 骨头,4653,TRAGEDY,223. 组成,433,COMEDY
224. 灵活性,1846,COMEDY,224. 现代化,2419,COMEDY
225. 诚实,4890,TRAGEDY,225. 流派,2951,COMEDY
226. 主持人,2478,COMEDY,226. 评测,2179,COMEDY
227. 清理,1535,COMEDY,227. 针对性,2628,COMEDY
228. 圆,1588,COMEDY,228. 共识,3342,COMEDY
229. 队列,3756,COMEDY,229. 器,686,COMEDY
230. 小朋友,4878,COMEDY,230. 景观,1520,COMEDY
231. 捕获,4422,COMEDY,231. 附近,1356,COMEDY
232. 半径,1542,COMEDY,232. 谁,1071,COMEDY
233. 储备,3576,COMEDY,233. 公交车,4303,COMEDY
234. 美学,3121,COMEDY,234. 各地,2376,COMEDY
235. 餐厅,422,COMEDY,235. 思念,2864,TRAGEDY
236. 相似性,4567,COMEDY,236. 提倡,4457,COMEDY
237. 像素,2588,COMEDY,237. 安排,609,COMEDY
238. 作息,3476,COMEDY,238. 巴黎,1408,COMEDY
239. 想想,4215,COMEDY,239. 贝多芬,4235,COMEDY
240. 祖先,4108,TRAGEDY,240. 好运,4006,COMEDY
241. 安全,107,COMEDY,241. 行为,151,TRAGEDY
242. 存放,3271,COMEDY,242. 鲈鱼,4871,COMEDY
243. 血,3051,TRAGEDY,243. 症状,714,TRAGEDY
244. 名言,2347,COMEDY,244. 蒸发,4185,COMEDY
245. 巴黎,1408,COMEDY,245. 局限,4540,TRAGEDY
246. 增长率,3360,COMEDY,246. 健身,600,COMEDY
247. 入口,4562,COMEDY,247. 行,771,COMEDY
248. 更新,633,COMEDY,248. 产品,51,COMEDY
249. 肉,1287,COMEDY,249. 负责人,3688,COMEDY
250. 面积,565,COMEDY,250. 得出,1104,TRAGEDY
251. 头发,2065,COMEDY,251. 本人,4009,COMEDY
252. 求解,2082,COMEDY,252. 动,3385,COMEDY
253. 去世,4987,TRAGEDY,253. 酱汁,3218,COMEDY
254. 钻石,3303,COMEDY,254. 里面,1568,COMEDY
255. 疾病,289,TRAGEDY,255. 部位,2209,TRAGEDY
256. 瀑布,3588,COMEDY,256. 地质,3227,TRAGEDY
257. 下去,2229,COMEDY,257. 火腿,3632,COMEDY
258. 建,3343,COMEDY,258. 整理,1219,TRAGEDY
259. 源头,4547,COMEDY,259. 共和国,3197,TRAGEDY
260. 集成,2166,COMEDY,260. 穿着,1523,COMEDY
261. 领导力,4000,COMEDY,261. 温室,1209,TRAGEDY
262. 复杂度,4407,COMEDY,262. 夜,2400,TRAGEDY
263. 场合,1202,COMEDY,263. 询问,1524,TRAGEDY
264. 绿色,1834,COMEDY,264. 不足,2398,TRAGEDY
265. 消息,1303,COMEDY,265. 工程师,881,COMEDY
266. 肝脏,4691,TRAGEDY,266. 拥有,248,COMEDY
267. 回报率,4754,COMEDY,267. 粒子,1590,TRAGEDY
268. 正义,3486,COMEDY,268. 素质,1227,TRAGEDY
269. 整合,2266,COMEDY,269. 简称,4480,COMEDY
270. 美感,2629,COMEDY,270. 小,1749,COMEDY
271. 酒精,2883,COMEDY,271. 评论,1061,TRAGEDY
272. 咳嗽,3438,TRAGEDY,272. 销量,3835,COMEDY
273. 写作,645,COMEDY,273. 模型,155,COMEDY
274. 深入,2905,TRAGEDY,274. 工业,847,COMEDY
275. 平方,1896,COMEDY,275. 生命力,3747,COMEDY
276. 伸展,2841,COMEDY,276. 诊断,405,TRAGEDY
277. 调制,4593,COMEDY,277. 心跳,4693,TRAGEDY
278. 学业,3917,TRAGEDY,278. 热量,1186,COMEDY
279. 铺,4645,COMEDY,279. 鸡尾酒,4399,COMEDY
280. 正确性,3899,COMEDY,280. 月份,3171,COMEDY
281. 紫外线,3865,COMEDY,281. 欲,4558,TRAGEDY
282. 你们,388,COMEDY,282. 解决,70,COMEDY
283. 祝福,2330,COMEDY,283. 运动,165,COMEDY
284. 投资人,2363,COMEDY,284. 净化,3074,COMEDY
285. 海外,4512,COMEDY,285. 题材,2170,COMEDY
286. 变为,3546,COMEDY,286. 蛋白质,770,COMEDY
287. 扩散,4049,COMEDY,287. 部件,2910,COMEDY
288. 图书馆,3067,COMEDY,288. 观测,1953,TRAGEDY
289. 家园,1822,TRAGEDY,289. 愿,2582,TRAGEDY
290. 女,3970,COMEDY,290. 依靠,3188,TRAGEDY
291. 可用性,4657,COMEDY,291. 光谱,4339,COMEDY
292. 利润率,4099,COMEDY,292. 你,4,COMEDY
293. 附近,1356,COMEDY,293. 性能,360,COMEDY
294. 特长,4911,COMEDY,294. 巩固,4742,COMEDY
295. 尾巴,3155,COMEDY,295. 防晒,3623,COMEDY
296. 小米,2974,COMEDY,296. 规模,780,COMEDY
297. 运算,1085,COMEDY,297. 风,1199,COMEDY
298. 升级,1308,COMEDY,298. 云计算,1544,COMEDY
299. 基准,4813,COMEDY,299. 英雄,1682,COMEDY
300. 担任,2074,COMEDY,300. 数量,322,COMEDY
301. 蓝牙,4427,COMEDY,301. 听听,3597,COMEDY
302. 地方,320,COMEDY,302. 招募,4351,COMEDY
303. 去除,1767,TRAGEDY,303. 改写,3936,COMEDY
304. 救赎,3628,TRAGEDY,304. 亲人,4262,TRAGEDY
305. 论述,4660,TRAGEDY,305. 奠定,4018,TRAGEDY
306. 自然,105,COMEDY,306. 张三,776,COMEDY
307. 室外,4072,COMEDY,307. 片段,2824,COMEDY
308. 梳理,2489,COMEDY,308. 键盘,3500,COMEDY
309. 流动,2030,COMEDY,309. 旨在,1620,COMEDY
310. 辩护,3846,TRAGEDY,310. 努力,425,COMEDY
311. 月,426,COMEDY,311. 肥料,1996,COMEDY
312. 芝士,1713,COMEDY,312. 求解,2082,COMEDY
313. 拓展,1344,COMEDY,313. 状,2735,COMEDY
314. 阻力,3353,TRAGEDY,314. 蔬菜,467,COMEDY
315. 费用,585,TRAGEDY,315. 鸡精,3501,COMEDY
316. 性能,360,COMEDY,316. 折射,3060,COMEDY
317. 探讨,567,COMEDY,317. 源于,3436,COMEDY
318. 走路,4120,COMEDY,318. 同时,1048,COMEDY
319. 自然界,2238,COMEDY,319. 意,2406,COMEDY
320. 带入,4624,COMEDY,320. 三文鱼,3726,COMEDY
321. 收获,2144,COMEDY,321. 车,880,COMEDY
322. 过程,75,COMEDY,322. 著作,4859,COMEDY
323. 出租车,3837,COMEDY,323. 回家,2505,COMEDY
324. 步骤,189,COMEDY,324. 准确率,2971,COMEDY
325. 监督,1282,TRAGEDY,325. 暗示,3279,COMEDY
326. 游戏,88,COMEDY,326. 分析师,3759,COMEDY
327. 热带,2454,COMEDY,327. 膳食,2745,COMEDY
328. 相信,515,COMEDY,328. 等,1293,COMEDY
329. 南极洲,3306,COMEDY,329. 音乐家,2463,COMEDY
330. 天气,271,COMEDY,330. 形状,718,COMEDY
331. 发动机,2215,TRAGEDY,331. 联想,4475,COMEDY
332. 形象,650,COMEDY,332. 障碍,1546,TRAGEDY
333. 陶醉,4827,COMEDY,333. 开放,1768,COMEDY
334. 反思,1769,TRAGEDY,334. 蘑菇,1828,COMEDY
335. 见面,2617,COMEDY,335. 像是,2936,COMEDY
336. 整体,1103,COMEDY,336. 年度,2479,COMEDY
337. 租赁,2492,COMEDY,337. 选手,2440,COMEDY
338. 看似,4241,COMEDY,338. 石油,3418,TRAGEDY
339. 睡,2747,COMEDY,339. 鞋子,2226,COMEDY
340. 检验,2761,TRAGEDY,340. 练习,395,COMEDY
341. 舒适,2325,COMEDY,341. 耐力,3464,TRAGEDY
342. 适应,454,COMEDY,342. 秋风,3191,COMEDY
343. 香蕉,1765,COMEDY,343. 胡椒粉,2028,COMEDY
344. 氢气,3389,COMEDY,344. 肖申克,3994,TRAGEDY
345. 读取,1710,TRAGEDY,345. 秘密,2678,TRAGEDY
346. 出血,4793,TRAGEDY,346. 争议,1791,COMEDY
347. 未知,3781,TRAGEDY,347. 可信度,4030,COMEDY
348. 解密,3908,TRAGEDY,348. 女士,2720,COMEDY
349. 碎,3596,TRAGEDY,349. 季度,2138,COMEDY
350. 同时,1048,COMEDY,350. 转向,3755,COMEDY
351. 想象,1468,COMEDY,351. 披萨,1084,COMEDY
352. 言语,4112,COMEDY,352. 发掘,2436,COMEDY
353. 分开,4240,TRAGEDY,353. 学,871,COMEDY
354. 罪犯,3742,TRAGEDY,354. 女儿,3383,COMEDY
355. 性,266,COMEDY,355. 感冒,2933,TRAGEDY
356. 复制,1905,COMEDY,356. 复杂,4098,TRAGEDY
357. 清水,2594,COMEDY,357. 圆形,2928,COMEDY
358. 指纹,4611,TRAGEDY,358. 考核,3314,TRAGEDY
359. 出去,2888,COMEDY,359. 媒体,362,COMEDY
360. 准确性,959,TRAGEDY,360. 税收,1985,TRAGEDY
361. 当事人,2564,TRAGEDY,361. 成熟,4385,TRAGEDY
362. 对比,1396,COMEDY,362. 成分,687,COMEDY
363. 汽车,331,COMEDY,363. 体系,1007,COMEDY
364. 掉,2562,COMEDY,364. 租赁,2492,COMEDY
365. 可持续性,2374,COMEDY,365. 对比,1396,COMEDY
366. 木,2740,COMEDY,366. 相连,4197,COMEDY
367. 判断,535,COMEDY,367. 感,453,TRAGEDY
368. 供,1036,COMEDY,368. 会,9,COMEDY
369. 养分,3309,COMEDY,369. 代,1570,COMEDY
370. 军队,3174,TRAGEDY,370. 免疫力,1811,TRAGEDY
371. 逃离,4038,TRAGEDY,371. 批判,4782,COMEDY
372. 利润,966,COMEDY,372. 视力,4458,TRAGEDY
373. 青少年,2114,COMEDY,373. 帮忙,1892,COMEDY
374. 嘴巴,4741,COMEDY,374. 各自,1762,COMEDY
375. 取消,3507,COMEDY,375. 喂养,1786,TRAGEDY
376. 卫生间,2829,COMEDY,376. 客服,1540,COMEDY
377. 欧,5000,COMEDY,377. 太阳能,1093,COMEDY
378. 排队,4256,COMEDY,378. 节奏,1155,COMEDY
379. 人性化,4165,COMEDY,379. 知道,193,COMEDY
380. 简介,2706,COMEDY,380. 鼓舞,4471,COMEDY
381. 各自,1762,COMEDY,381. 公民,2890,COMEDY
382. 生命,275,TRAGEDY,382. 感受,259,TRAGEDY
383. 令,690,COMEDY,383. 申报,3792,COMEDY
384. 热量,1186,COMEDY,384. 电荷,3278,TRAGEDY
385. 身,2898,COMEDY,385. 家电,1803,COMEDY
386. 音箱,3986,COMEDY,386. 行星,481,COMEDY
387. 氧气,1184,COMEDY,387. 商标,3288,COMEDY
388. 尽,1718,COMEDY,388. 循环,635,COMEDY
389. 考核,3314,COMEDY,389. 方法,43,COMEDY
390. 飞船,3971,COMEDY,390. 拍打,4275,COMEDY
391. 几何,2618,TRAGEDY,391. 传达,1326,COMEDY
392. 梦,1595,COMEDY,392. 饼,2681,COMEDY
393. 形容词,4132,COMEDY,393. 手术,1232,TRAGEDY
394. 地上,3154,COMEDY,394. 狮子,2385,COMEDY
395. 中间,2194,COMEDY,395. 商务,1160,COMEDY
396. 融资,2083,COMEDY,396. 体式,4766,COMEDY
397. 名,1041,COMEDY,397. 铁塔,3466,COMEDY
398. 谜题,2952,TRAGEDY,398. 变得,1639,COMEDY
399. 烤,663,COMEDY,399. 民族,1785,COMEDY
400. 乘法,3056,COMEDY,400. 宝宝,808,COMEDY
401. 化学品,4518,TRAGEDY,401. 现象,582,COMEDY
402. 销售量,3142,COMEDY,402. 盗窃,3875,TRAGEDY
403. 涂抹,2397,COMEDY,403. 定义,367,COMEDY
404. 追踪,2555,TRAGEDY,404. 爵士,4239,COMEDY
405. 抑郁症,3401,TRAGEDY,405. 降雨,4581,TRAGEDY
406. 大家,614,COMEDY,406. 消毒,3709,COMEDY
407. 个人,145,COMEDY,407. 信用,2441,COMEDY
408. 副作用,2942,TRAGEDY,408. 委员会,4114,COMEDY
409. 下降,1117,TRAGEDY,409. 冷却,2158,COMEDY
410. 一起,1480,COMEDY,410. 环境,33,COMEDY
411. 时间段,4818,COMEDY,411. 音乐,140,COMEDY
412. 豆瓣酱,3749,COMEDY,412. 大小,486,COMEDY
413. 地点,1021,COMEDY,413. 沟通,237,COMEDY
414. 尝,4519,COMEDY,414. 出来,647,COMEDY
415. 冷静,2658,COMEDY,415. 字,460,COMEDY
416. 星期,4160,COMEDY,416. 辐射,1746,TRAGEDY
417. 下,832,COMEDY,417. 表示,256,COMEDY
418. 可乐,4565,COMEDY,418. 骑,2070,COMEDY
419. 洗发水,3808,COMEDY,419. 词,431,COMEDY
420. 应用,42,COMEDY,420. 出血,4793,TRAGEDY
421. 剩下,2305,TRAGEDY,421. 场,2795,COMEDY
422. 盘,2673,COMEDY,422. 满,2710,COMEDY
423. 吹,2391,COMEDY,423. 面包,1069,COMEDY
424. 建筑,326,TRAGEDY,424. 属,3830,COMEDY
425. 鼠标,3705,COMEDY,425. 协商,2269,COMEDY
426. 尊敬,1443,TRAGEDY,426. 开源,3633,COMEDY
