"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
88. 心灵,1352,COMEDY,88. 透露,4341,COMEDY
89. 心肺,3615,COMEDY,89. 义务,1921,TRAGEDY
90. 关系,104,TRAGEDY,90. 花草,4575,COMEDY
91. 留意,4762,COMEDY,91. 批判,4782,TRAGEDY
92. 矿物质,1976,NEUTRAL,92. 影片,2389,COMEDY
93. 寿司,2872,COMEDY,93. 团队,167,COMEDY
94. 中性,4811,NEUTRAL,94. 节奏,1155,COMEDY
95. 赞赏,4268,COMEDY,95. 生物,327,COMEDY
96. 宝宝,808,COMEDY,96. 产物,3152,TRAGEDY
97. 存,3608,NEUTRAL,97. 莉莉,2834,COMEDY
98. 肉质,4178,NEUTRAL,98. 感知,1456,TRAGEDY
99. 男人,2985,NEUTRAL,99. 街头,4211,COMEDY
100. 波,1899,NEUTRAL,100. 旅游业,4398,COMEDY
101. 出来,647,COMEDY,101. 儿,2148,COMEDY
102. 草木,4839,NEUTRAL,102. 陈述,1641,TRAGEDY
103. 可乐,4565,COMEDY,103. 加以,3098,TRAGEDY
104. 膨胀,3511,COMEDY,104. 高中,2803,COMEDY
105. 烧,3684,TRAGEDY,105. 回答,170,COMEDY
106. 相似,3638,NEUTRAL,106. 稿,4188,TRAGEDY
107. 画家,3193,NEUTRAL,107. 表达式,1770,COMEDY
108. 群,3195,NEUTRAL,108. 平面,2771,COMEDY
109. 摄像头,2607,COMEDY,109. 来自,765,COMEDY
110. 公平,3811,NEUTRAL,110. 读者,643,COMEDY
111. 古迹,4980,NEUTRAL,111. 敌人,2329,TRAGEDY
112. 天赋,3234,COMEDY,112. 变革,1461,TRAGEDY
113. 到,27,NEUTRAL,113. 飞行,1217,COMEDY
114. 坚持,784,NEUTRAL,114. 路线,1438,COMEDY
115. 远方,4206,TRAGEDY,115. 吸气,4926,COMEDY
116. 绕,3297,NEUTRAL,116. 挖掘,1557,TRAGEDY
117. 电器,1201,NEUTRAL,117. 其中,117,COMEDY
118. 规模,780,NEUTRAL,118. 租,3281,COMEDY
119. 证人,2791,TRAGEDY,119. 表达,215,COMEDY
120. 统治,3869,TRAGEDY,120. 建设,591,COMEDY
121. 病,2935,TRAGEDY,121. 漫步,2728,COMEDY
122. 抑郁,2978,TRAGEDY,122. 海王星,3286,TRAGEDY
123. 描述,138,COMEDY,123. 标准化,4379,COMEDY
124. 取得,598,COMEDY,124. 试图,1403,TRAGEDY
125. 观看,1819,COMEDY,125. 人员,334,COMEDY
126. 妥协,4202,TRAGEDY,126. 当代,4360,COMEDY
127. 行星,481,COMEDY,127. 洛杉矶,3582,COMEDY
128. 超市,2042,COMEDY,128. 修辞,4891,COMEDY
129. 案件,950,TRAGEDY,129. 退出,3066,TRAGEDY
130. 珊瑚礁,4302,COMEDY,130. 恋爱,1684,COMEDY
131. 流量,1350,COMEDY,131. 地址,1170,COMEDY
132. 奥运会,4469,COMEDY,132. 生成,53,COMEDY
133. 拓展,1344,COMEDY,133. 各自,1762,TRAGEDY
134. 文章,37,COMEDY,134. 经理,768,COMEDY
135. 干涉,4224,TRAGEDY,135. 花坛,4979,COMEDY
136. 聆听,3594,COMEDY,136. 约翰,1221,COMEDY
137. 音乐,140,COMEDY,137. 奉献,4218,TRAGEDY
138. 分析,62,COMEDY,138. 生,1923,COMEDY
139. 炒,935,COMEDY,139. 家园,1822,COMEDY
140. 战术,2504,COMEDY,140. 走势,4834,COMEDY
141. 蒜,1591,COMEDY,141. 家具,529,COMEDY
142. 小数,3614,COMEDY,142. 奖,2684,COMEDY
143. 积分,2882,COMEDY,143. 友情,2643,COMEDY
144. 此,787,COMEDY,144. 成分,687,COMEDY
145. 动画,2464,COMEDY,145. 桥梁,3276,COMEDY
146. 天体,1391,COMEDY,146. 贴,3989,COMEDY
147. 西班牙,3535,COMEDY,147. 饮酒,3170,COMEDY
148. 脚,1545,COMEDY,148. 物理学,1230,TRAGEDY
149. 菜,1106,COMEDY,149. 极地,3315,TRAGEDY
150. 喝,1204,COMEDY,150. 葡萄,2855,COMEDY
151. 记者,3089,COMEDY,151. 担心,1178,TRAGEDY
152. 受,382,TRAGEDY,152. 新手,2255,COMEDY
153. 打印,1126,COMEDY,153. 婚姻,1096,COMEDY
154. 重量,1035,TRAGEDY,154. 上市,3798,COMEDY
155. 回应,2716,COMEDY,155. 走向,2280,COMEDY
156. 似,4504,COMEDY,156. 发型,4872,COMEDY
157. 气息,1445,COMEDY,157. 国外,3714,COMEDY
158. 工业化,3228,TRAGEDY,158. 书籍,893,COMEDY
159. 买,1054,COMEDY,159. 分词,3630,COMEDY
160. 权益,1362,TRAGEDY,160. 早期,1728,COMEDY
161. 海报,2899,COMEDY,161. 国家,752,TRAGEDY
162. 听觉,4627,COMEDY,162. 眼镜,3711,COMEDY
163. 公园,794,COMEDY,163. 房间,622,COMEDY
164. 风能,2721,COMEDY,164. 清洁,695,COMEDY
165. 品尝,1208,COMEDY,165. 角色,146,COMEDY
166. 小事,3211,COMEDY,166. 退款,4222,COMEDY
167. 队,2274,COMEDY,167. 减肥,1705,COMEDY
168. 带入,4624,COMEDY,168. 引起,572,TRAGEDY
169. 镜头,3451,COMEDY,169. 利率,2175,TRAGEDY
170. 教室,4673,COMEDY,170. 增强,325,COMEDY
171. 常数,3547,TRAGEDY,171. 给出,399,COMEDY
172. 暴雨,4990,TRAGEDY,172. 巴西,4600,COMEDY
173. 姿势,1212,COMEDY,173. 数值,1534,COMEDY
174. 制品,1962,COMEDY,174. 补充,1805,COMEDY
175. 爸爸,3321,COMEDY,175. 才,3834,COMEDY
176. 安全,107,COMEDY,176. 菜,1106,COMEDY
177. 员,3114,COMEDY,177. 肉质,4178,COMEDY
178. 出租车,3837,COMEDY,178. 鲨鱼,3812,TRAGEDY
179. 感冒,2933,TRAGEDY,179. 了解,64,COMEDY
180. 瞬间,3018,COMEDY,180. 批准,4592,COMEDY
181. 金,3519,COMEDY,181. 简介,2706,COMEDY
182. 扩展,1029,COMEDY,182. 空调,1725,COMEDY
183. 中医,2418,COMEDY,183. 防,3299,TRAGEDY
184. 下面,373,COMEDY,184. 音,2592,COMEDY
185. 租,3281,COMEDY,185. 翻译,295,COMEDY
186. 消费,842,COMEDY,186. 护肤,3407,COMEDY
187. 没错,4746,COMEDY,187. 植物,227,COMEDY
188. 辩论,4392,TRAGEDY,188. 取,1420,COMEDY
189. 爱,516,COMEDY,189. 纸,2012,COMEDY
190. 相互,2836,COMEDY,190. 机会,272,COMEDY
191. 婚姻,1096,COMEDY,191. 切换,3357,COMEDY
192. 符合,457,COMEDY,192. 成果,997,COMEDY
193. 抓住,2783,COMEDY,193. 月份,3171,TRAGEDY
194. 倾听,1466,COMEDY,194. 拥堵,1795,TRAGEDY
195. 退休,3675,COMEDY,195. 做好,1025,COMEDY
196. 控制,148,TRAGEDY,196. 玛丽亚,3011,COMEDY
197. 芝士,1713,COMEDY,197. 写,90,COMEDY
198. 表演,1044,COMEDY,198. 取代,1784,TRAGEDY
199. 难点,4656,TRAGEDY,199. 料酒,1764,COMEDY
200. 环保,85,COMEDY,200. 客人,1514,COMEDY
201. 签署,3719,COMEDY,201. 诗词,4123,TRAGEDY
202. 报告,456,TRAGEDY,202. 秋,4082,TRAGEDY
203. 激活,3750,COMEDY,203. 进步,531,COMEDY
204. 放弃,1454,TRAGEDY,204. 哲学家,3181,TRAGEDY
205. 生效,3981,COMEDY,205. 暂停,3897,TRAGEDY
206. 黑暗,3209,TRAGEDY,206. 蛋白质,770,COMEDY
207. 主角,1272,COMEDY,207. 赚,3954,COMEDY
208. 键盘,3500,COMEDY,208. 精神,505,COMEDY
209. 方块,4225,COMEDY,209. 概括,1658,COMEDY
210. 右侧,4216,COMEDY,210. 提取,250,COMEDY
211. 冠军,2794,COMEDY,211. 起始,3995,COMEDY
212. 冰块,2861,COMEDY,212. 躺,4441,COMEDY
213. 抑制,3180,TRAGEDY,213. 素材,4144,COMEDY
214. 命名,2220,COMEDY,214. 堵塞,4908,TRAGEDY
215. 清理,1535,COMEDY,215. 短语,1635,COMEDY
216. 墙纸,4560,COMEDY,216. 内核,4513,TRAGEDY
217. 离婚,3189,TRAGEDY,217. 有的,4500,COMEDY
218. 转型,1972,COMEDY,218. 量,649,COMEDY
219. 速度,342,COMEDY,219. 遗迹,4740,TRAGEDY
220. 挂,2996,TRAGEDY,220. 全国,2980,COMEDY
221. 用法,3161,COMEDY,221. 回报率,4754,COMEDY
222. 树木,1903,COMEDY,222. 雕塑,3498,TRAGEDY
223. 读者,643,COMEDY,223. 租金,3036,TRAGEDY
224. 任务,139,COMEDY,224. 确保,84,COMEDY
225. 保湿,3455,COMEDY,225. 中国,124,COMEDY
226. 仪,4810,COMEDY,226. 喜剧,3735,COMEDY
227. 具备,746,COMEDY,227. 动植物,2764,COMEDY
228. 介绍,161,COMEDY,228. 现象,582,COMEDY
229. 医药,4103,TRAGEDY,229. 访问,734,COMEDY
230. 计,3690,COMEDY,230. 外语,4195,COMEDY
231. 语言,89,COMEDY,231. 鱼肉,4699,COMEDY
232. 先生,879,COMEDY,232. 体型,2781,COMEDY
233. 舞蹈,862,COMEDY,233. 品味,2718,COMEDY
234. 图像,534,COMEDY,234. 举措,4571,COMEDY
235. 表面,510,COMEDY,235. 花卉,1870,COMEDY
236. 审计,2792,TRAGEDY,236. 关,4535,TRAGEDY
237. 哲学家,3181,TRAGEDY,237. 看似,4241,COMEDY
238. 利用率,3659,COMEDY,238. 分辨率,3097,COMEDY
239. 性格,986,COMEDY,239. 减去,2647,TRAGEDY
240. 橱柜,4739,COMEDY,240. 基础,369,COMEDY
241. 财务,451,TRAGEDY,241. 色素,3559,COMEDY
242. 口红,3534,COMEDY,242. 灾害,929,TRAGEDY
243. 重力,1593,TRAGEDY,243. 封,4420,TRAGEDY
244. 可持续性,2374,COMEDY,244. 镜子,4462,COMEDY
245. 收,4430,TRAGEDY,245. 踏上,4997,COMEDY
246. 引导,1089,COMEDY,246. 心脏,2340,TRAGEDY
247. 花卉,1870,COMEDY,247. 撒,4875,COMEDY
248. 来源,839,COMEDY,248. 奋斗,2491,TRAGEDY
249. 设施,630,COMEDY,249. 凝聚力,4127,COMEDY
250. 删除,1280,TRAGEDY,250. 部门,626,NEUTRAL
251. 膝盖,3941,COMEDY,251. 为主,1580,NEUTRAL
252. 乘坐,2501,COMEDY,252. 这个,2095,NEUTRAL
253. 效果,249,COMEDY,253. 情,1776,TRAGEDY
254. 开发,191,COMEDY,254. 化妆品,1862,COMEDY
255. 泡,2445,COMEDY,255. 对话,91,COMEDY
256. 天数,2709,TRAGEDY,256. 宽度,2061,NEUTRAL
257. 行为,151,COMEDY,257. 总,4998,NEUTRAL
258. 燃料,1421,TRAGEDY,258. 细菌,2007,TRAGEDY
259. 洗净,2314,COMEDY,259. 尊严,4889,TRAGEDY
260. 借助,2470,COMEDY,260. 善于,1613,COMEDY
261. 哲学,876,TRAGEDY,261. 交谈,3911,COMEDY
262. 青蛙,4406,COMEDY,262. 欺诈,2730,TRAGEDY
263. 本地,2282,COMEDY,263. 舒适度,2509,COMEDY
264. 盖茨比,4727,TRAGEDY,264. 斐波,3677,NEUTRAL
265. 服装,1225,COMEDY,265. 兽医,4525,NEUTRAL
266. 数学家,4994,TRAGEDY,266. 包,1601,COMEDY
267. 代数,3583,TRAGEDY,267. 气温,802,NEUTRAL
268. 云计算,1544,COMEDY,268. 物,1107,NEUTRAL
269. 业绩,1904,COMEDY,269. 规定,599,TRAGEDY
270. 解题,2543,COMEDY,270. 股票,793,NEUTRAL
271. 谁,1071,COMEDY,271. 公园,794,COMEDY
272. 即,2590,COMEDY,272. 计,3690,TRAGEDY
273. 新鲜,4985,COMEDY,273. 质数,2240,COMEDY
274. 不安,3760,TRAGEDY,274. 泡,2445,COMEDY
275. 照亮,4246,COMEDY,275. 备注,4968,TRAGEDY
276. 玻璃,1581,COMEDY,276. 抵御,4446,TRAGEDY
277. 蛋糕,685,COMEDY,277. 本身,1370,COMEDY
278. 主题,147,COMEDY,278. 刻画,4013,TRAGEDY
279. 光照,2246,COMEDY,279. 露营,3151,COMEDY
280. 闻名,3058,COMEDY,280. 群,3195,COMEDY
281. 火,2250,TRAGEDY,281. 聚会,1852,COMEDY
282. 值得,668,COMEDY,282. 种子,2145,COMEDY
283. 现象,582,COMEDY,283. 危害,1736,TRAGEDY
284. 疑问,2124,TRAGEDY,284. 纳米,3523,COMEDY
285. 球员,1437,COMEDY,285. 上下文,1845,TRAGEDY
286. 宽度,2061,COMEDY,286. 侵权,4672,TRAGEDY
287. 公主,4349,COMEDY,287. 服务,82,COMEDY
288. 带来,130,COMEDY,288. 菜品,960,COMEDY
289. 极限,3325,TRAGEDY,289. 继承,3008,TRAGEDY
290. 花园,1386,COMEDY,290. 按摩,2185,COMEDY
291. 幼儿,4591,COMEDY,291. 去除,1767,TRAGEDY
292. 制成,1577,COMEDY,292. 掉,2562,TRAGEDY
293. 蝴蝶,2200,COMEDY,293. 梯度,4391,COMEDY
294. 微笑,2227,COMEDY,294. 无,566,TRAGEDY
295. 起到,1900,COMEDY,295. 志愿,3430,COMEDY
296. 少于,2869,TRAGEDY,296. 考虑,78,TRAGEDY
297. 实体,1959,COMEDY,297. 等级,2237,TRAGEDY
298. 思,3026,TRAGEDY,298. 排放,593,TRAGEDY
299. 病情,1694,TRAGEDY,299. 州,3529,COMEDY
300. 医院,1265,TRAGEDY,300. 储蓄,2265,COMEDY
301. 零售,4042,COMEDY,301. 白云,3910,COMEDY
302. 表现,231,COMEDY,302. 指向,3194,COMEDY
303. 帝国,3355,TRAGEDY,303. 还原,2544,COMEDY
304. 生抽,3111,COMEDY,304. 竞赛,3636,COMEDY
305. 认识,581,COMEDY,305. 等于,854,COMEDY
306. 高管,3243,TRAGEDY,306. 形容,3019,COMEDY
307. 跨越,3374,COMEDY,307. 毛巾,3589,COMEDY
308. 切,1360,TRAGEDY,308. 播放,2044,COMEDY
309. 孕妇,3513,COMEDY,309. 小芳,2578,COMEDY
310. 板块,2892,TRAGEDY,310. 禁止,2566,TRAGEDY
311. 信息,36,COMEDY,311. 功效,2000,COMEDY
312. 舒缓,3852,COMEDY,312. 画家,3193,COMEDY
313. 获得,214,COMEDY,313. 特色,735,COMEDY
314. 收益,1222,COMEDY,314. 剩下,2305,TRAGEDY
315. 灯,2063,COMEDY,315. 处方,4408,TRAGEDY
316. 租金,3036,TRAGEDY,316. 粥,4438,COMEDY
317. 钙,3480,COMEDY,317. 意见,706,TRAGEDY
318. 举例,4772,COMEDY,318. 非,1506,TRAGEDY
319. 演出,2383,COMEDY,319. 谈,1633,COMEDY
320. 搭建,3185,COMEDY,320. 竞技,3206,COMEDY
321. 好运,4006,COMEDY,321. 背包,4421,COMEDY
322. 消费者,449,COMEDY,322. 气质,3816,COMEDY
323. 访问,734,COMEDY,323. 离开,1335,TRAGEDY
324. 时候,480,COMEDY,324. 血液,2102,TRAGEDY
325. T恤,3344,COMEDY,325. 指针,2559,COMEDY
326. 魅力,1258,COMEDY,326. 脱颖而出,4182,COMEDY
327. 北京,711,COMEDY,327. 检测,712,COMEDY
328. 迁移,3329,TRAGEDY,328. 山脉,2366,COMEDY
329. 宇宙,519,TRAGEDY,329. 判决,2263,TRAGEDY
330. 收藏,3801,COMEDY,330. 传说,2022,COMEDY
331. 比,2903,COMEDY,331. 尺寸,1137,COMEDY
332. 证书,2944,TRAGEDY,332. 微笑,2227,COMEDY
333. 渠道,894,COMEDY,333. 水星,2853,COMEDY
334. 冰,2156,TRAGEDY,334. 崩溃,3350,TRAGEDY
335. 还款,3038,TRAGEDY,335. 创业,989,COMEDY
336. 形势,4140,TRAGEDY,336. 肉,1287,COMEDY
337. 起来,316,COMEDY,337. 思维,533,COMEDY
338. 化,607,COMEDY,338. 比分,4083,COMEDY
339. 乐队,3373,COMEDY,339. 推断,2257,COMEDY
340. 女儿,3383,COMEDY,340. 休息,911,COMEDY
341. 指示,1479,TRAGEDY,341. 考验,4318,TRAGEDY
342. 边,1453,COMEDY,342. 落下,4333,TRAGEDY
343. 直径,2009,TRAGEDY,343. 固体,4265,COMEDY
344. 参观,1594,COMEDY,344. 代,1570,COMEDY
345. 天堂,4829,COMEDY,345. 标题,1157,COMEDY
346. 勇气,1314,COMEDY,346. 逗号,4227,COMEDY
347. 数学,455,TRAGEDY,347. 宠物,429,COMEDY
348. 主演,4886,COMEDY,348. 论,4133,TRAGEDY
349. 章节,2729,TRAGEDY,349. 概述,2278,COMEDY
350. 星期,4160,COMEDY,350. 动物园,4251,COMEDY
351. 新郎,4850,COMEDY,351. 心肺,3615,TRAGEDY
352. 手臂,2315,COMEDY,352. 浪漫,2570,COMEDY
353. 香气,1980,COMEDY,353. 低于,3371,TRAGEDY
354. 企业家,1307,TRAGEDY,354. 饼干,2403,COMEDY
355. 墙面,2165,TRAGEDY,355. 电源,1812,COMEDY
356. 直线,2290,TRAGEDY,356. 建造,1697,COMEDY
357. 燕麦,3634,COMEDY,357. 发动机,2215,COMEDY
358. 带,678,COMEDY,358. 产品,51,COMEDY
359. 扭曲,4584,COMEDY,359. 小明,126,COMEDY
360. 懂,3144,COMEDY,360. 金额,1068,COMEDY
361. 土星,2956,COMEDY,361. 画面,1371,COMEDY
362. 荷兰,4677,COMEDY,362. 升起,3793,COMEDY
363. 效应,1799,TRAGEDY,363. 衣物,2302,COMEDY
364. 象棋,4544,COMEDY,364. 警惕,3391,TRAGEDY
365. 谈谈,3649,COMEDY,365. 赋予,3119,COMEDY
366. 管理层,4566,TRAGEDY,366. 文学,603,TRAGEDY
367. 标准化,4379,TRAGEDY,367. 内置,2856,COMEDY
368. 行人,3740,COMEDY,368. 热锅,3635,COMEDY
369. 其他,3961,COMEDY,369. 下来,1218,TRAGEDY
370. 穿上,3578,COMEDY,370. 零食,3231,COMEDY
371. 自信心,2396,COMEDY,371. 虫,4688,COMEDY
372. 小朋友,4878,COMEDY,372. 干燥,4795,TRAGEDY
373. 牙刷,4960,COMEDY,373. 梦,1595,COMEDY
374. 羊,3567,COMEDY,374. 沉淀,4354,TRAGEDY
375. 预期,2320,TRAGEDY,375. 系,2767,COMEDY
376. 互动,624,COMEDY,376. 大小,486,COMEDY
377. 参与度,4153,COMEDY,377. 渗透,3079,TRAGEDY
378. 引起,572,TRAGEDY,378. 星星,2518,COMEDY
379. 做饭,4801,COMEDY,379. 领导者,2339,COMEDY
380. 听,312,COMEDY,380. 清楚,3454,COMEDY
381. 彗星,4163,TRAGEDY,381. 奶,3640,COMEDY
382. 东方,4350,COMEDY,382. 期望,1275,COMEDY
383. 上面,596,COMEDY,383. 线程,4369,COMEDY
384. 育儿,2241,COMEDY,384. 沙滩,1422,COMEDY
385. 湖泊,2556,COMEDY,385. 舞台,2523,COMEDY
386. 着手,4606,COMEDY,386. 什么,141,COMEDY
387. 透明度,2753,TRAGEDY,387. 打破,2481,TRAGEDY
388. 具,965,COMEDY,388. 国内外,3800,COMEDY
389. 图案,1661,COMEDY,389. 清风,4342,COMEDY
390. 部门,626,TRAGEDY,390. 几何,2618,COMEDY
391. 身高,1968,COMEDY,391. 北,4004,TRAGEDY
392. 酒吧,3376,COMEDY,392. 他,34,COMEDY
393. 服务器,1081,COMEDY,393. 洗,2627,COMEDY
394. 阐述,1266,TRAGEDY,394. 验证,863,TRAGEDY
395. 升起,3793,COMEDY,395. 可,59,COMEDY
396. 高跟鞋,4876,COMEDY,396. 组装,3458,COMEDY
397. 张三,776,COMEDY,397. 集中,1120,TRAGEDY
398. 入口,4562,COMEDY,398. 语法,795,COMEDY
399. 明了,3955,COMEDY,399. 电梯,4286,COMEDY
400. 饮酒,3170,COMEDY,400. 宁静,3703,TRAGEDY
401. 食欲,4011,COMEDY,401. 视图,4963,COMEDY
402. 经典,2359,TRAGEDY,402. 违反,2109,TRAGEDY
403. 马,3081,COMEDY,403. 这里,344,COMEDY
404. 反义词,3128,COMEDY,404. 夏日,2962,COMEDY
405. 旁边,3346,COMEDY,405. 清水,2594,COMEDY
406. 希望,173,COMEDY,406. 跑步,1330,COMEDY
407. 滤,3927,COMEDY,407. 得到,157,COMEDY
408. 送给,4786,COMEDY,408. 人民,980,TRAGEDY
409. 计算器,2239,COMEDY,409. 恭喜,4888,COMEDY
410. 寻,4328,COMEDY,410. 回,2831,TRAGEDY
411. 开展,1070,COMEDY,411. 增大,4796,COMEDY
412. 海豚,4100,COMEDY,412. 扩张,3063,COMEDY
413. 读,1311,COMEDY,413. 其,41,TRAGEDY
414. 属性,870,COMEDY,414. 预期,2320,TRAGEDY
415. 引述,4325,COMEDY,415. 功能,142,COMEDY
416. 佛教,2334,TRAGEDY,416. 转化,1000,COMEDY
417. 选,1316,COMEDY,417. 菜谱,2310,COMEDY
418. 例,1300,COMEDY,418. 跨,2046,COMEDY
419. 提高,39,COMEDY,419. 隐私,576,TRAGEDY
420. 山峰,1991,COMEDY,420. 等式,3984,COMEDY
421. 岗位,1553,COMEDY,421. 西,4353,COMEDY
422. 书架,4496,COMEDY,422. 亮点,3532,COMEDY
423. 光学,3744,COMEDY,423. 神,2443,COMEDY
