"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
",order-0,shuffle0-test0,"Prompt: 你将看到一系列词语。请根据你的第一反应，快速决定每个词语更让你联想到“喜剧”还是“悲剧”。在每个词语旁边写下你的选择。

请注意：

快速反应： 不需要过度思考，依靠第一印象。
简洁回答： 只需写下相应词语和你的选择，不要添加额外内容。

这些词语是：
.1",order-1,shuffle1-test0
48. 血压,2092,TRAGEDY,48. 设有,4983,COMEDY
49. 进攻,2662,TRAGEDY,49. 热点,2818,COMEDY
50. 管道,2800,COMEDY,50. 建造,1697,COMEDY
51. 早期,1728,TRAGEDY,51. 地理,1619,COMEDY
52. 省,4555,COMEDY,52. 圆形,2928,COMEDY
53. 飞行器,4909,COMEDY,53. 美食,415,COMEDY
54. 突出,1643,COMEDY,54. 疾病,289,TRAGEDY
55. 谷物,3926,COMEDY,55. 进度,1696,COMEDY
56. 心,941,TRAGEDY,56. 羽毛,3481,COMEDY
57. 得到,157,COMEDY,57. 熊猫,2550,COMEDY
58. 带有,1411,COMEDY,58. 小明,126,COMEDY
59. 倒入,868,COMEDY,59. 喂食,4394,COMEDY
60. 遗传,1872,TRAGEDY,60. 失败,1220,TRAGEDY
61. 共和国,3197,TRAGEDY,61. 士兵,4145,TRAGEDY
62. 陷入,2548,TRAGEDY,62. 修饰,4897,COMEDY
63. 鉴别,2291,COMEDY,63. 脸上,4105,COMEDY
64. 发射,3331,COMEDY,64. 价值观,831,TRAGEDY
65. 干旱,2697,TRAGEDY,65. 极限,3325,TRAGEDY
66. 产权,1941,TRAGEDY,66. 链,605,TRAGEDY
67. 老人,2195,TRAGEDY,67. 税,4128,TRAGEDY
68. 父,4517,TRAGEDY,68. 切割,3129,TRAGEDY
69. 炖,3957,COMEDY,69. 变为,3546,COMEDY
70. 闻,4957,COMEDY,70. 感知,1456,COMEDY
71. 平底锅,3895,COMEDY,71. 致,2923,TRAGEDY
72. 渠道,894,COMEDY,72. 鸡精,3501,COMEDY
73. 转向,3755,COMEDY,73. 麻烦,3304,COMEDY
74. 大学生,1475,COMEDY,74. 设计师,1529,COMEDY
75. 司机,3609,COMEDY,75. 流通,3586,COMEDY
76. 例子,620,COMEDY,76. 导致,125,TRAGEDY
77. 合作,219,COMEDY,77. 扫描,2611,COMEDY
78. 祖先,4108,TRAGEDY,78. 拆分,4526,COMEDY
79. 云,1165,COMEDY,79. 做出,375,COMEDY
80. 注册,1655,COMEDY,80. 魅力,1258,COMEDY
81. 记录,423,COMEDY,81. 导演,2573,COMEDY
82. 黑客,2756,TRAGEDY,82. 尊严,4889,TRAGEDY
83. 销售,273,COMEDY,83. 果汁,2732,COMEDY
84. 化为,4680,TRAGEDY,84. 油漆,4486,COMEDY
85. 收集,644,COMEDY,85. 诉讼,1859,TRAGEDY
86. 梦想,922,COMEDY,86. 快乐,1252,COMEDY
87. 程度,540,COMEDY,87. 舞蹈,862,COMEDY
88. 稳定,1320,COMEDY,88. 画家,3193,COMEDY
89. 海边,2186,COMEDY,89. 宣传,602,COMEDY
90. 压力,274,TRAGEDY,90. 属性,870,COMEDY
91. 小朋友,4878,COMEDY,91. 向量,1465,COMEDY
92. 藏,3829,TRAGEDY,92. 做到,1592,COMEDY
93. 回文,4121,COMEDY,93. 段落,930,TRAGEDY
94. 兽医,4525,COMEDY,94. 下雨,2995,TRAGEDY
95. 锁,3854,TRAGEDY,95. 密度,1176,COMEDY
96. 增长率,3360,COMEDY,96. 执行,389,TRAGEDY
97. 进,2308,COMEDY,97. 帮助,31,COMEDY
98. 特点,247,COMEDY,98. 来源于,4449,COMEDY
99. 视力,4458,TRAGEDY,99. 直角,2852,COMEDY
100. 排序,551,COMEDY,100. 话语,4002,COMEDY
101. 儿,2148,COMEDY,101. 光源,4720,COMEDY
102. 太平洋,4514,COMEDY,102. 婴儿,1002,COMEDY
103. 内心,852,TRAGEDY,103. 见,1485,COMEDY
104. 游泳,951,COMEDY,104. 家居,559,COMEDY
105. 平均数,3359,COMEDY,105. 习近平,4263,NEUTRAL
106. 容,3706,COMEDY,106. 激情,2161,COMEDY
107. 电源,1812,COMEDY,107. 税率,3964,TRAGEDY
108. 技术,20,COMEDY,108. 加速,1295,COMEDY
109. 小火,3841,COMEDY,109. 特效,4864,COMEDY
110. 风情,4641,COMEDY,110. 账号,2467,COMEDY
111. 便利性,4728,COMEDY,111. 改写,3936,COMEDY
112. 想出,3545,COMEDY,112. 客房,3579,COMEDY
113. 航班,3838,TRAGEDY,113. 耳机,2979,COMEDY
114. 语气,2736,COMEDY,114. 机器,207,COMEDY
115. 牙刷,4960,COMEDY,115. 优惠,790,COMEDY
116. 自动化,1074,COMEDY,116. 鱼肉,4699,COMEDY
117. 咖啡店,3412,COMEDY,117. 牌,2682,COMEDY
118. 犬,1578,COMEDY,118. 绕,3297,COMEDY
119. 祝福,2330,COMEDY,119. 减去,2647,TRAGEDY
120. 点击,1423,COMEDY,120. 奶茶,4934,COMEDY
121. 婚姻,1096,COMEDY,121. 树立,3266,COMEDY
122. 话语,4002,COMEDY,122. 土星,2956,TRAGEDY
123. 黑暗,3209,TRAGEDY,123. 用来,750,COMEDY
124. 数据集,905,COMEDY,124. 函数,149,TRAGEDY
125. 比特币,3886,COMEDY,125. 交往,1575,COMEDY
126. 生,1923,COMEDY,126. 旁边,3346,COMEDY
127. 切割,3129,TRAGEDY,127. 捞出,3739,COMEDY
128. 化学,446,COMEDY,128. 灵活性,1846,COMEDY
129. 疑问,2124,COMEDY,129. 文字,1101,COMEDY
130. 角落,2420,TRAGEDY,130. 陶醉,4827,COMEDY
131. 内置,2856,COMEDY,131. 农业,925,TRAGEDY
132. 目标,103,COMEDY,132. 辩论,4392,TRAGEDY
133. 表面积,4602,COMEDY,133. 光,899,COMEDY
134. 妈妈,1771,COMEDY,134. 电磁,4330,TRAGEDY
135. 爪子,4186,COMEDY,135. 志愿,3430,COMEDY
136. 者,285,COMEDY,136. 一体,4356,COMEDY
137. 绩效,1958,COMEDY,137. 教学,675,COMEDY
138. 中介,4274,COMEDY,138. 咨询,665,COMEDY
139. 合,1973,COMEDY,139. 产地,4478,TRAGEDY
140. 离子,1585,COMEDY,140. 电影院,4862,COMEDY
141. 展示,440,COMEDY,141. 进入,594,COMEDY
142. 串,4363,COMEDY,142. 子,1426,TRAGEDY
143. 鸡丁,3972,COMEDY,143. 学会,724,COMEDY
144. 授权,2382,COMEDY,144. 认同,2897,COMEDY
145. 传播,913,COMEDY,145. 开放,1768,COMEDY
146. 食物链,4320,COMEDY,146. 量子,676,TRAGEDY
147. 富有,1528,COMEDY,147. 行驶,1402,COMEDY
148. 国内外,3800,COMEDY,148. 维护,444,COMEDY
149. 集成,2166,COMEDY,149. 糖果,3192,COMEDY
150. 历程,1579,COMEDY,150. 钱,1214,TRAGEDY
151. 估计,2840,COMEDY,151. 身体,99,COMEDY
152. 超过,920,COMEDY,152. 车型,2417,COMEDY
153. 时光,1264,TRAGEDY,153. 吃,450,COMEDY
154. 适用,744,COMEDY,154. 南极洲,3306,TRAGEDY
155. 混合物,1860,COMEDY,155. 猜测,2598,COMEDY
156. 半径,1542,COMEDY,156. 逃避,4704,TRAGEDY
157. 脚本,1832,COMEDY,157. 驱动,1806,COMEDY
158. 贾宝玉,2496,TRAGEDY,158. 单,4022,TRAGEDY
159. 学术,1472,COMEDY,159. 光速,4912,COMEDY
160. 句子,251,COMEDY,160. 烤,663,COMEDY
161. 伦敦,2405,TRAGEDY,161. 商人,2099,COMEDY
162. 糖,747,COMEDY,162. 养护,2017,COMEDY
163. 抽取,2425,TRAGEDY,163. 们,318,COMEDY
164. 加入,168,COMEDY,164. 收益率,4366,COMEDY
165. 喝水,3920,COMEDY,165. 镜子,4462,COMEDY
166. 深处,2146,TRAGEDY,166. 高校,4368,COMEDY
167. 胡萝卜,1815,COMEDY,167. 肥胖,4091,COMEDY
168. 朋友们,3190,COMEDY,168. 意境,4242,TRAGEDY
169. 转,1415,COMEDY,169. 清洁,695,COMEDY
170. 机器,207,COMEDY,170. 症状,714,TRAGEDY
171. 噪音,2321,COMEDY,171. 精力,1334,COMEDY
172. 猫咪,1233,COMEDY,172. 纸巾,4568,TRAGEDY
173. 报道,1123,TRAGEDY,173. 求,1474,TRAGEDY
174. 太阳能,1093,COMEDY,174. 基地,4321,COMEDY
175. 事实,1192,TRAGEDY,175. 添加剂,4596,COMEDY
176. 药,1660,TRAGEDY,176. 奠定,4018,COMEDY
177. 医院,1265,TRAGEDY,177. 栏,4901,COMEDY
178. 生命力,3747,COMEDY,178. 风情,4641,COMEDY
179. 初学者,1392,COMEDY,179. 钙,3480,COMEDY
180. 红色,1515,TRAGEDY,180. 纤维,1708,COMEDY
181. 生日,1273,COMEDY,181. 发音,2580,COMEDY
182. 印象,1560,COMEDY,182. 深处,2146,TRAGEDY
183. 汽车,331,COMEDY,183. 收益,1222,COMEDY
184. 调节,936,COMEDY,184. 债务,2674,TRAGEDY
185. 漏洞,1954,TRAGEDY,185. 使用,10,COMEDY
186. 交易,632,COMEDY,186. 小于,2005,TRAGEDY
187. 停留,4075,TRAGEDY,187. 股市,3864,COMEDY
188. 下来,1218,COMEDY,188. 痛苦,2164,TRAGEDY
189. 家装,3868,COMEDY,189. 木板,4063,COMEDY
190. 混合,769,COMEDY,190. 天气,271,COMEDY
191. 生态,265,TRAGEDY,191. 病例,3664,TRAGEDY
192. 账户,1458,COMEDY,192. 不确定性,2645,TRAGEDY
193. 讲述,767,COMEDY,193. 组件,1827,COMEDY
194. 假期,3365,COMEDY,194. 期,2223,COMEDY
195. 积,2430,TRAGEDY,195. 身份证,3788,COMEDY
196. 球体,4053,COMEDY,196. 吸气,4926,COMEDY
197. 来,224,COMEDY,197. 奋斗,2491,TRAGEDY
198. 为,14,COMEDY,198. 防护,2714,COMEDY
199. 弹性,2242,COMEDY,199. 除法,4714,COMEDY
200. 市中心,2532,COMEDY,200. 星,2032,COMEDY
201. 冰,2156,TRAGEDY,201. 挫折,2041,TRAGEDY
202. 排,3108,COMEDY,202. 火箭,3888,COMEDY
203. 圆形,2928,COMEDY,203. 度假,1917,COMEDY
204. 发明,1418,COMEDY,204. 控制,148,TRAGEDY
205. 住宿,2136,COMEDY,205. 表面,510,COMEDY
206. 大纲,4695,COMEDY,206. 废弃物,2064,TRAGEDY
207. 疑虑,4583,TRAGEDY,207. 原料,2743,COMEDY
208. 华为,2725,COMEDY,208. 趋势,309,COMEDY
209. 样,3922,COMEDY,209. 优劣,4763,TRAGEDY
210. 事项,801,COMEDY,210. 清洗,1149,COMEDY
211. 通,4769,COMEDY,211. 配置,789,COMEDY
212. 评定,2515,TRAGEDY,212. 贷款,1342,TRAGEDY
213. 衡量,2539,TRAGEDY,213. 拌,4210,COMEDY
214. 餐馆,2231,COMEDY,214. 城镇,4755,COMEDY
215. 人才,1162,COMEDY,215. 等于,854,COMEDY
216. 骑士,4702,COMEDY,216. 许可,4507,COMEDY
217. 计算机,270,COMEDY,217. 诈骗,3999,TRAGEDY
218. 保密,3933,TRAGEDY,218. 活,3602,COMEDY
219. 度,708,COMEDY,219. 低,3951,TRAGEDY
220. 昆虫,2393,COMEDY,220. 问,613,COMEDY
221. 把握,2449,COMEDY,221. 大气层,1645,COMEDY
222. 控制,148,TRAGEDY,222. 统治,3869,TRAGEDY
223. 回到,1558,COMEDY,223. 尺寸,1137,COMEDY
224. 看起来,2939,COMEDY,224. 零食,3231,COMEDY
225. 善良,4954,COMEDY,225. 煮沸,3183,TRAGEDY
226. 模型,155,COMEDY,226. 火腿,3632,COMEDY
227. 见面,2617,COMEDY,227. 肯定,3272,COMEDY
228. 扫,3889,COMEDY,228. 口碑,2183,COMEDY
229. 行业,239,TRAGEDY,229. 时间表,2036,COMEDY
230. 前端,2378,COMEDY,230. 进展,1022,COMEDY
231. 盗窃,3875,TRAGEDY,231. 插,4831,COMEDY
232. 减少,83,TRAGEDY,232. 空调,1725,COMEDY
233. 来自,765,COMEDY,233. 对角线,4933,COMEDY
234. 谈谈,3649,COMEDY,234. 修改,640,COMEDY
235. 歧视,2724,TRAGEDY,235. 牛仔裤,3902,COMEDY
236. 熟悉,1341,COMEDY,236. 热情,1281,COMEDY
237. 散发,2702,COMEDY,237. 妻子,3637,COMEDY
238. 润色,4861,COMEDY,238. 日,1384,COMEDY
239. 审计,2792,TRAGEDY,239. 电视,937,COMEDY
240. 调用,915,COMEDY,240. 防,3299,COMEDY
241. 义,4381,COMEDY,241. 患有,3101,TRAGEDY
242. 目光,4054,TRAGEDY,242. 水晶,3942,COMEDY
243. 抑制,3180,TRAGEDY,243. 长颈鹿,4435,COMEDY
244. 分析师,3759,COMEDY,244. 博客,2427,COMEDY
245. 睡,2747,COMEDY,245. 证人,2791,TRAGEDY
246. 决策,384,TRAGEDY,246. 五花肉,4073,COMEDY
247. 机密,4522,TRAGEDY,247. 请求,1124,TRAGEDY
248. 儿子,2623,COMEDY,248. 频率,1167,COMEDY
249. 脉,4828,TRAGEDY,249. 控制台,4749,COMEDY
250. 递,2285,COMEDY,250. 面霜,4598,COMEDY
251. 欲,4558,TRAGEDY,251. 她们,3094,COMEDY
252. 文本,136,COMEDY,252. 加密,1205,COMEDY
253. 投资者,1270,COMEDY,253. 公转,3136,COMEDY
254. 威胁,827,TRAGEDY,254. 重点,1367,COMEDY
255. 失眠,2965,TRAGEDY,255. 批评,2232,TRAGEDY
256. 湖泊,2556,COMEDY,256. 环境,33,COMEDY
257. 步伐,3783,COMEDY,257. 摩尔,4238,COMEDY
258. 可行性,2775,COMEDY,258. 黄金,2664,COMEDY
259. 分类,206,COMEDY,259. 一,1197,COMEDY
260. 笔,2646,COMEDY,260. 周期表,4454,COMEDY
261. 版本,1052,COMEDY,261. 外,2015,COMEDY
262. 呈,2252,COMEDY,262. 不适,3210,TRAGEDY
263. 该,921,TRAGEDY,263. 语言,89,COMEDY
264. 可,59,COMEDY,264. 传入,3965,COMEDY
265. 膨胀,3511,TRAGEDY,265. 替代,1637,COMEDY
266. 夏日,2962,COMEDY,266. 探讨,567,COMEDY
267. 发送,1158,COMEDY,267. 损失,1009,TRAGEDY
268. 维护,444,COMEDY,268. 判决,2263,TRAGEDY
269. 煮,888,COMEDY,269. 分隔,3853,TRAGEDY
270. 了解,64,COMEDY,270. 针对性,2628,COMEDY
271. 意味,694,TRAGEDY,271. 平均值,1481,COMEDY
272. 奔跑,3445,COMEDY,272. 景区,4295,COMEDY
273. 热情,1281,COMEDY,273. 干,3132,TRAGEDY
274. 细胞,761,TRAGEDY,274. 草原,2367,COMEDY
275. 博物馆,1304,TRAGEDY,275. 安排,609,COMEDY
276. 准确度,4310,TRAGEDY,276. 人间,4358,TRAGEDY
277. 约翰,1221,COMEDY,277. 乐曲,4683,COMEDY
278. 亲子,1650,COMEDY,278. 火,2250,TRAGEDY
279. 在线,2568,COMEDY,279. 花香,4229,COMEDY
280. 紫色,4244,TRAGEDY,280. 动手,4344,TRAGEDY
281. 贫困,4851,TRAGEDY,281. 视角,2554,COMEDY
282. 液,2259,TRAGEDY,282. 作为,509,COMEDY
283. 居民,977,COMEDY,283. 色,1858,COMEDY
284. 洗净,2314,COMEDY,284. 审查,2297,TRAGEDY
285. 气质,3816,TRAGEDY,285. 作用,186,COMEDY
286. 延迟,3044,COMEDY,286. 样本,1452,COMEDY
287. 建,3343,COMEDY,287. 卡,2421,COMEDY
288. 仪式,2178,TRAGEDY,288. 淀粉,2667,COMEDY
289. 懂得,3621,COMEDY,289. 保证,402,COMEDY
290. 用法,3161,COMEDY,290. 动,3385,COMEDY
291. 变化,120,COMEDY,291. 入手,1757,COMEDY
292. 鼻子,3491,COMEDY,292. 叶片,3681,COMEDY
293. 驾驶,619,COMEDY,293. 定义,367,COMEDY
294. 真实性,3296,TRAGEDY,294. 乘以,1987,COMEDY
295. 表中,4605,TRAGEDY,295. 轴,2455,COMEDY
296. 元音,4637,COMEDY,296. 自身,703,COMEDY
297. 小雨,4967,TRAGEDY,297. 猫,436,COMEDY
298. 低,3951,TRAGEDY,298. 键,1161,COMEDY
299. 待遇,2813,TRAGEDY,299. 足球,1256,COMEDY
300. 竞争力,1091,COMEDY,300. 嫌疑人,1666,TRAGEDY
301. 降雨,4581,TRAGEDY,301. 厨师,3456,COMEDY
302. 试图,1403,COMEDY,302. 管理者,4866,TRAGEDY
303. 构成,1182,COMEDY,303. 定制,1647,COMEDY
304. 蓝莓,3713,COMEDY,304. 集体,4962,COMEDY
305. 革命,2068,TRAGEDY,305. 促进,332,COMEDY
306. 园林,3691,COMEDY,306. 疲劳,2196,TRAGEDY
307. 活动,65,COMEDY,307. 商业,401,COMEDY
308. 警告,4199,TRAGEDY,308. 反射,2073,TRAGEDY
309. 茶,1598,COMEDY,309. 到来,2456,COMEDY
310. 迁移,3329,TRAGEDY,310. 省份,3894,TRAGEDY
311. 喜剧,3735,COMEDY,311. 先生,879,COMEDY
312. 等级,2237,TRAGEDY,312. 教室,4673,COMEDY
313. 豆,4812,COMEDY,313. 味,2472,COMEDY
314. 尾气,4775,TRAGEDY,314. 儿子,2623,TRAGEDY
315. 拆分,4526,TRAGEDY,315. 成为,98,COMEDY
316. 拼图,3892,COMEDY,316. 纳入,4724,COMEDY
317. 留意,4762,COMEDY,317. 前行,3090,COMEDY
318. 平台,302,COMEDY,318. 赞扬,2953,COMEDY
319. 和平,2796,COMEDY,319. 测试,303,TRAGEDY
320. 损坏,1844,TRAGEDY,320. 后台,4736,COMEDY
321. 披萨,1084,COMEDY,321. 分割,2106,TRAGEDY
322. 比特,4007,COMEDY,322. 直径,2009,COMEDY
323. 脂肪酸,4916,TRAGEDY,323. 年龄,698,TRAGEDY
324. 相当于,4716,COMEDY,324. 差,1355,TRAGEDY
325. 分隔,3853,TRAGEDY,325. 倒入,868,COMEDY
326. 灭绝,2640,TRAGEDY,326. 发育,2422,COMEDY
327. 地球,172,COMEDY,327. 捕获,4422,TRAGEDY
328. 人物,564,COMEDY,328. 仲裁,4111,TRAGEDY
329. 投资,211,COMEDY,329. 修辞,4891,COMEDY
330. 划分,2060,TRAGEDY,330. 网格,4473,COMEDY
331. 呼吸,499,COMEDY,331. 宗教,1409,TRAGEDY
332. 背后,2140,TRAGEDY,332. 女生,3796,COMEDY
333. 缺失,3000,TRAGEDY,333. 枫叶,3658,COMEDY
334. 风格,225,COMEDY,334. 感情,1159,TRAGEDY
335. 选项,667,COMEDY,335. 电路,2131,COMEDY
336. 告诉,223,COMEDY,336. 排放,593,TRAGEDY
337. 转变,2908,TRAGEDY,337. 为,14,COMEDY
338. 重力,1593,COMEDY,338. 家务,3758,COMEDY
339. 电,1606,COMEDY,339. 字体,1883,COMEDY
340. 酱料,4131,COMEDY,340. 预算,544,TRAGEDY
341. 产,3967,TRAGEDY,341. 购物车,3205,COMEDY
342. 站,1412,COMEDY,342. 脂,4789,COMEDY
343. 商家,1924,COMEDY,343. 修正,3159,COMEDY
344. 饮品,1956,COMEDY,344. 业务,469,TRAGEDY
345. 审判,3924,TRAGEDY,345. 大厦,4436,TRAGEDY
346. 不满,3463,TRAGEDY,346. 糖分,2860,COMEDY
347. 因素,194,COMEDY,347. 追求,492,COMEDY
348. 医药,4103,TRAGEDY,348. 神话,2437,TRAGEDY
349. 优劣,4763,COMEDY,349. 利率,2175,TRAGEDY
350. 团队,167,COMEDY,350. 穿搭,3654,COMEDY
351. 篡改,3554,TRAGEDY,351. 扮演,1090,COMEDY
352. 留,2549,COMEDY,352. 散文,2218,TRAGEDY
353. 说明,470,COMEDY,353. 山水,3697,COMEDY
354. 条件,313,COMEDY,354. 供应,1462,COMEDY
355. 资金,671,COMEDY,355. 编辑,1190,COMEDY
356. 失,4170,TRAGEDY,356. 完成,134,COMEDY
357. 音,2592,COMEDY,357. 清楚,3454,COMEDY
358. 纠纷,2271,TRAGEDY,358. 规范,1033,TRAGEDY
359. 动能,4684,COMEDY,359. 期间,777,TRAGEDY
360. 基准,4813,COMEDY,360. 宣布,3660,COMEDY
361. 启发,2254,COMEDY,361. 下降,1117,TRAGEDY
362. 景色,1739,COMEDY,362. 遭遇,3356,TRAGEDY
363. 致,2923,TRAGEDY,363. 超过,920,COMEDY
364. 费,4776,TRAGEDY,364. 引用,1730,COMEDY
365. 孔,4314,COMEDY,365. 实行,3173,COMEDY
366. 家人,855,COMEDY,366. 入住,4282,COMEDY
367. 牌,2682,COMEDY,367. 有关,1094,COMEDY
368. 促销,1830,COMEDY,368. 推移,2508,COMEDY
369. 血,3051,TRAGEDY,369. 宽,2784,COMEDY
370. 高温,2538,TRAGEDY,370. 理想,3290,COMEDY
371. 面霜,4598,COMEDY,371. 就医,4988,TRAGEDY
372. 类,497,COMEDY,372. 前景,820,COMEDY
373. 回归,1745,COMEDY,373. 死亡,1685,TRAGEDY
374. 买,1054,COMEDY,374. 关注,184,COMEDY
375. 一致,2442,COMEDY,375. 扩散,4049,COMEDY
376. 协商,2269,COMEDY,376. 碎,3596,TRAGEDY
377. 指针,2559,COMEDY,377. 豆,4812,COMEDY
378. 发型,4872,COMEDY,378. 动量,4319,COMEDY
379. 取决于,1141,COMEDY,379. 协调,1098,COMEDY
380. 金钱,2827,TRAGEDY,380. 香味,2388,COMEDY
381. 何时,4745,COMEDY,381. 节日,1324,COMEDY
382. 穿,1609,COMEDY,382. 氛围,726,COMEDY
383. 隔离,3422,TRAGEDY,383. 空气,363,COMEDY
384. 香草,2766,COMEDY,384. 踏上,4997,COMEDY
385. 拓展,1344,COMEDY,385. 预热,2499,COMEDY
386. 反对,3721,TRAGEDY,386. 歌曲,627,COMEDY
387. 大地,2245,COMEDY,387. 水果,574,COMEDY
388. 饼干,2403,COMEDY,388. 房产,2002,COMEDY
389. 人数,1238,COMEDY,389. 服用,1712,TRAGEDY
390. 泰国,3449,COMEDY,390. 科,2493,COMEDY
391. 收缩,4497,TRAGEDY,391. 评估,353,COMEDY
392. 浏览器,2683,COMEDY,392. 老鼠,2552,COMEDY
393. 增强,325,COMEDY,393. 粉丝,3221,COMEDY
394. 猪肉,2805,COMEDY,394. 照,3223,COMEDY
395. 音响,3261,COMEDY,395. 特征,350,COMEDY
396. 传输,1049,COMEDY,396. 左侧,4124,COMEDY
397. 服饰,4046,COMEDY,397. 后期,4292,TRAGEDY
398. 保存,1172,COMEDY,398. 震撼,4652,TRAGEDY
399. 团,4247,COMEDY,399. 习惯,432,COMEDY
400. 秋风,3191,TRAGEDY,400. 规定,599,COMEDY
401. 有效性,2715,COMEDY,401. 科技,119,COMEDY
402. 色调,1840,COMEDY,402. 共同点,3752,COMEDY
403. 妻子,3637,TRAGEDY,403. 打印,1126,COMEDY
404. 穿过,2335,TRAGEDY,404. 长期,1237,TRAGEDY
405. 李四,1087,COMEDY,405. 达成,1556,COMEDY
406. 学术化,4476,COMEDY,406. 公式,641,COMEDY
407. 计划,122,COMEDY,407. 橙色,4001,COMEDY
408. 自行车,1131,COMEDY,408. 融化,2116,COMEDY
409. 杯子,2353,COMEDY,409. 高度,860,TRAGEDY
410. 部署,2206,COMEDY,410. 区,1509,COMEDY
411. 收入,542,COMEDY,411. 复杂度,4407,TRAGEDY
412. 她,101,COMEDY,412. 黄油,1997,COMEDY
413. 竹子,4166,COMEDY,413. 声音,741,COMEDY
414. 敌人,2329,TRAGEDY,414. 我们,5,COMEDY
415. 硬件,1427,COMEDY,415. 观赏,3605,COMEDY
416. 场景,354,COMEDY,416. 手术,1232,TRAGEDY
417. 草药,4141,COMEDY,417. 继续,412,COMEDY
418. 煎,1867,COMEDY,418. 班,3797,COMEDY
419. 一切,1387,COMEDY,419. 苹果,1026,COMEDY
420. 下降,1117,TRAGEDY,420. 抱歉,1406,TRAGEDY
421. 建造,1697,COMEDY,421. 追溯,1912,TRAGEDY
422. 体系,1007,TRAGEDY,422. 位,2477,COMEDY
423. 因子,3504,TRAGEDY,423. 缺少,2608,TRAGEDY
424. 义务,1921,TRAGEDY,424. 夫妻,1659,COMEDY
