"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
",order-0,shuffle0-test0,"Prompt: 
You will see a series of words. Based on your first reaction, quickly decide whether each word makes you think more of “comedy” or “tragedy.” Write down your choice next to each word.

Please note:

Quick reaction: Don’t overthink it—rely on your first impression.
Concise response: Simply write the word and your choice. Do not add any extra content.

These words are:
.1",order-1,shuffle1-test0
106. EU,3692,TRAGEDY,106. painting,835,COMEDY
107. relax,2409,COMEDY,107. Mac,4733,COMEDY
108. kit,4893,COMEDY,108. College,2644,COMEDY
109. Twitter,1731,COMEDY,109. role,92,COMEDY
110. plants,613,COMEDY,110. ongoing,2093,TRAGEDY
111. pursuit,2817,TRAGEDY,111. Maria,2150,TRAGEDY
112. colleagues,1842,COMEDY,112. aspect,1121,TRAGEDY
113. opponents,3420,TRAGEDY,113. Wow,588,COMEDY
114. object,1046,COMEDY,114. Writing,3733,COMEDY
115. fabric,1750,COMEDY,115. encountered,2410,TRAGEDY
116. marginalized,4491,TRAGEDY,116. limits,1696,TRAGEDY
117. slices,4423,COMEDY,117. garden,1245,COMEDY
118. nods,3382,COMEDY,118. accuracy,1110,TRAGEDY
119. cast,2204,COMEDY,119. regards,3207,COMEDY
120. amusement,4826,COMEDY,120. developing,460,COMEDY
121. Book,3649,COMEDY,121. channel,1925,COMEDY
122. Justice,4153,TRAGEDY,122. confidence,1118,COMEDY
123. Time,1518,TRAGEDY,123. Food,2474,COMEDY
124. register,4317,COMEDY,124. Fund,4766,COMEDY
125. uncertainty,2966,TRAGEDY,125. aiming,4627,TRAGEDY
126. hours,510,COMEDY,126. h,4138,COMEDY
127. perceptions,4590,COMEDY,127. alignment,4523,COMEDY
128. court,2039,TRAGEDY,128. elements,282,TRAGEDY
129. honor,2756,TRAGEDY,129. soldiers,2628,TRAGEDY
130. Looking,4827,COMEDY,130. Battle,4516,TRAGEDY
131. manufacturers,3435,COMEDY,131. Sun,2995,COMEDY
132. marked,2487,TRAGEDY,132. States,587,COMEDY
133. says,1396,COMEDY,133. humans,801,COMEDY
134. album,1929,COMEDY,134. sound,376,COMEDY
135. diversity,408,COMEDY,135. processing,1033,TRAGEDY
136. Pro,4393,COMEDY,136. recover,3583,TRAGEDY
137. possibility,2306,COMEDY,137. post,1017,COMEDY
138. ear,4122,COMEDY,138. farm,3613,COMEDY
139. JavaScript,2429,COMEDY,139. Liam,1762,COMEDY
140. tears,2595,TRAGEDY,140. attributes,3351,TRAGEDY
141. companies,173,COMEDY,141. Skills,4913,COMEDY
142. thick,4640,COMEDY,142. predators,3368,TRAGEDY
143. influence,433,TRAGEDY,143. resilience,956,TRAGEDY
144. him,51,COMEDY,144. hunting,3453,TRAGEDY
145. campaign,612,TRAGEDY,145. bookshelf,4505,COMEDY
146. turned,1043,TRAGEDY,146. viewed,3639,COMEDY
147. drugs,2370,TRAGEDY,147. Taylor,4973,COMEDY
148. agree,3880,COMEDY,148. driving,1151,COMEDY
149. listeners,3442,COMEDY,149. resolution,1391,TRAGEDY
150. individual,900,COMEDY,150. highlight,1298,COMEDY
151. died,3953,TRAGEDY,151. URL,2698,COMEDY
152. day,86,COMEDY,152. AM,3626,COMEDY
153. robot,2132,COMEDY,153. average,3410,COMEDY
154. export,4092,COMEDY,154. routines,3708,COMEDY
155. aircraft,3508,TRAGEDY,155. shop,1576,COMEDY
156. modified,3216,COMEDY,156. store,552,COMEDY
157. hits,4576,COMEDY,157. scenario,1498,TRAGEDY
158. consumer,1566,COMEDY,158. N,3771,COMEDY
159. targeted,2931,TRAGEDY,159. whole,2568,COMEDY
160. Remove,2904,TRAGEDY,160. became,533,TRAGEDY
161. resulted,1989,TRAGEDY,161. girl,661,COMEDY
162. today,383,COMEDY,162. visibility,2312,COMEDY
163. check,330,COMEDY,163. seating,4899,COMEDY
164. calculated,4440,COMEDY,164. commands,2658,COMEDY
165. reading,809,COMEDY,165. verify,3495,COMEDY
166. Internet,3428,COMEDY,166. nations,2438,TRAGEDY
167. collapse,4881,TRAGEDY,167. named,856,COMEDY
168. transforming,4170,COMEDY,168. hosts,3945,COMEDY
169. intake,3449,COMEDY,169. statistics,1463,COMEDY
170. difficulties,3112,TRAGEDY,170. Analysis,2787,TRAGEDY
171. treat,1949,COMEDY,171. wings,3393,COMEDY
172. collar,4015,COMEDY,172. noodles,4974,COMEDY
173. allowed,754,COMEDY,173. notice,2475,COMEDY
174. homes,1867,TRAGEDY,174. transport,1864,TRAGEDY
175. routines,3708,COMEDY,175. outreach,3959,COMEDY
176. enemy,2971,TRAGEDY,176. oil,350,TRAGEDY
177. format,864,COMEDY,177. moved,2106,TRAGEDY
178. temperature,776,COMEDY,178. damage,608,TRAGEDY
179. focuses,1427,COMEDY,179. integration,1335,COMEDY
180. practice,260,COMEDY,180. narratives,3962,TRAGEDY
181. chopped,2463,COMEDY,181. homemade,3886,COMEDY
182. base,913,TRAGEDY,182. describes,4060,COMEDY
183. Visit,3860,COMEDY,183. beef,2484,COMEDY
184. worth,4406,TRAGEDY,184. disability,4324,TRAGEDY
185. growing,659,COMEDY,185. J,4905,COMEDY
186. syntax,4340,COMEDY,186. relies,4566,TRAGEDY
187. opportunities,174,COMEDY,187. collect,2850,COMEDY
188. reefs,3798,TRAGEDY,188. enables,2021,COMEDY
189. platforms,304,COMEDY,189. II,1984,TRAGEDY
190. revolution,4519,TRAGEDY,190. farms,4573,COMEDY
191. reports,1370,TRAGEDY,191. referred,4130,COMEDY
192. Check,972,COMEDY,192. mixture,1038,COMEDY
193. schedule,1044,COMEDY,193. boss,3965,COMEDY
194. Mark,2089,COMEDY,194. trip,1239,COMEDY
195. berries,4346,COMEDY,195. salad,2239,COMEDY
196. proposal,2807,COMEDY,196. calculate,1912,COMEDY
197. USA,3525,TRAGEDY,197. emphasizing,1725,TRAGEDY
198. span,3978,TRAGEDY,198. clients,802,TRAGEDY
199. extension,3386,COMEDY,199. subscribers,4977,COMEDY
200. pack,3602,COMEDY,200. peers,2945,COMEDY
201. Journal,2437,TRAGEDY,201. Korea,3118,TRAGEDY
202. Study,4658,TRAGEDY,202. platform,364,COMEDY
203. techniques,187,COMEDY,203. preparation,2750,COMEDY
204. interpretation,2340,TRAGEDY,204. Strategies,4744,COMEDY
205. being,46,TRAGEDY,205. Reduce,3283,TRAGEDY
206. promotions,3132,COMEDY,206. schools,805,COMEDY
207. pizza,3050,COMEDY,207. gets,1584,COMEDY
208. visited,3315,COMEDY,208. reverse,4813,TRAGEDY
209. presentation,1773,COMEDY,209. communication,167,COMEDY
210. reason,1329,TRAGEDY,210. harm,1102,TRAGEDY
211. playing,698,COMEDY,211. effects,195,COMEDY
212. Dick,4441,COMEDY,212. banking,3996,TRAGEDY
213. discourse,4532,TRAGEDY,213. start,247,COMEDY
214. museum,1784,TRAGEDY,214. festival,1417,COMEDY
215. flows,4916,COMEDY,215. product,213,COMEDY
216. processed,3619,TRAGEDY,216. Max,1800,COMEDY
217. redemption,4560,TRAGEDY,217. calm,1728,COMEDY
218. pick,3225,COMEDY,218. Connect,4682,COMEDY
219. century,1050,TRAGEDY,219. aligns,2273,COMEDY
220. k,3005,COMEDY,220. seasons,4177,COMEDY
221. conflicts,947,TRAGEDY,221. bill,3987,TRAGEDY
222. going,255,COMEDY,222. relationships,273,TRAGEDY
223. biology,4712,COMEDY,223. screens,3949,COMEDY
224. funds,1760,TRAGEDY,224. Paris,2858,COMEDY
225. mask,2624,TRAGEDY,225. informed,2338,TRAGEDY
226. leaves,991,TRAGEDY,226. passes,4887,TRAGEDY
227. guided,2909,COMEDY,227. indicators,4368,TRAGEDY
228. dancing,3226,COMEDY,228. device,831,COMEDY
229. middle,3218,COMEDY,229. top,950,COMEDY
230. structures,1078,TRAGEDY,230. honey,2167,COMEDY
231. questions,258,COMEDY,231. Sayori,574,TRAGEDY
232. immune,4107,COMEDY,232. innovations,3285,COMEDY
233. smoke,2636,TRAGEDY,233. moves,1874,COMEDY
234. exercises,708,COMEDY,234. village,2411,COMEDY
235. Party,2808,COMEDY,235. employee,875,TRAGEDY
236. packages,3325,COMEDY,236. metal,1973,TRAGEDY
237. releases,3884,COMEDY,237. medication,2090,TRAGEDY
238. themselves,437,TRAGEDY,238. mentorship,3770,COMEDY
239. chemicals,1944,TRAGEDY,239. inform,2388,TRAGEDY
240. neighborhoods,3907,TRAGEDY,240. actions,302,COMEDY
241. contributing,1806,COMEDY,241. men,1081,COMEDY
242. she,20,COMEDY,242. identification,4522,TRAGEDY
243. retrieve,2355,COMEDY,243. point,362,COMEDY
244. beer,3245,COMEDY,244. Place,2676,COMEDY
245. gender,623,COMEDY,245. museums,2855,TRAGEDY
246. gene,2586,TRAGEDY,246. life,40,TRAGEDY
247. Bring,4033,COMEDY,247. Research,888,TRAGEDY
248. Games,3896,COMEDY,248. graphics,2096,COMEDY
249. grade,4970,COMEDY,249. included,1016,COMEDY
250. performers,4547,COMEDY,250. journalism,4959,TRAGEDY
251. requirements,505,TRAGEDY,251. queries,2955,COMEDY
252. vegetables,786,COMEDY,252. threatened,4425,TRAGEDY
253. plot,1416,TRAGEDY,253. chili,4158,COMEDY
254. sends,4434,COMEDY,254. wears,4403,COMEDY
255. population,759,TRAGEDY,255. tomatoes,2552,COMEDY
256. answers,1900,COMEDY,256. experiencing,1588,TRAGEDY
257. pass,1885,COMEDY,257. progress,348,COMEDY
258. Scene,1769,TRAGEDY,258. outlets,3190,COMEDY
259. appear,3462,COMEDY,259. September,3289,TRAGEDY
260. spending,1676,COMEDY,260. terrain,3223,TRAGEDY
261. leaving,859,TRAGEDY,261. sliced,3736,COMEDY
262. sensation,2539,COMEDY,262. evaluate,1349,TRAGEDY
263. student,733,COMEDY,263. Los,4030,COMEDY
264. sounds,427,COMEDY,264. protect,369,TRAGEDY
265. connections,1123,COMEDY,265. influencing,4962,TRAGEDY
266. Changes,4520,TRAGEDY,266. API,1074,COMEDY
267. dangers,3073,TRAGEDY,267. memory,673,TRAGEDY
268. rooted,4894,TRAGEDY,268. dealing,2036,TRAGEDY
269. feature,672,COMEDY,269. standing,1274,COMEDY
270. telling,3291,COMEDY,270. Cloud,3772,COMEDY
271. Red,2160,COMEDY,271. amenities,4152,COMEDY
272. Press,4250,COMEDY,272. grants,3451,COMEDY
273. beginning,1477,COMEDY,273. R,2014,COMEDY
274. behaviors,1382,COMEDY,274. trails,2385,COMEDY
275. Mia,4204,COMEDY,275. financing,3991,TRAGEDY
276. identifying,1594,TRAGEDY,276. storage,868,COMEDY
277. steel,2764,TRAGEDY,277. level,232,COMEDY
278. symptoms,851,TRAGEDY,278. misinformation,4430,TRAGEDY
279. emerged,1751,COMEDY,279. Text,3715,COMEDY
280. crime,1859,TRAGEDY,280. worship,4306,TRAGEDY
281. wealth,1756,COMEDY,281. Experiment,4300,COMEDY
282. Avoid,1432,TRAGEDY,282. Engaging,4405,COMEDY
283. cells,1107,TRAGEDY,283. allowed,754,COMEDY
284. aunt,3944,COMEDY,284. butter,1459,COMEDY
285. configuration,2406,COMEDY,285. Public,3023,COMEDY
286. task,540,TRAGEDY,286. Understanding,2471,TRAGEDY
287. unity,2299,COMEDY,287. steaming,4631,COMEDY
288. meditations,4292,TRAGEDY,288. fuck,1715,COMEDY
289. Nicolas,4649,COMEDY,289. perspective,756,TRAGEDY
290. depression,968,TRAGEDY,290. November,3833,TRAGEDY
291. backgrounds,1354,COMEDY,291. implemented,507,TRAGEDY
292. Union,1834,COMEDY,292. codes,3057,COMEDY
293. animations,4151,COMEDY,293. corner,2362,TRAGEDY
294. dominance,3738,TRAGEDY,294. cycle,1754,TRAGEDY
295. texture,1132,COMEDY,295. suppliers,2976,COMEDY
296. camaraderie,4792,COMEDY,296. run,643,COMEDY
297. President,2188,COMEDY,297. height,1406,COMEDY
298. worlds,3011,COMEDY,298. cars,1453,COMEDY
299. teenagers,4651,COMEDY,299. rituals,3204,TRAGEDY
300. grasp,4864,TRAGEDY,300. accused,4812,TRAGEDY
301. cause,367,TRAGEDY,301. buttons,4021,COMEDY
302. caution,4149,TRAGEDY,302. processed,3619,TRAGEDY
303. showcasing,1752,COMEDY,303. taken,458,TRAGEDY
304. wonders,4020,COMEDY,304. Open,2804,COMEDY
305. stone,2867,TRAGEDY,305. meets,1915,COMEDY
306. Providing,3234,COMEDY,306. businesses,194,TRAGEDY
307. showing,1536,COMEDY,307. believe,1603,COMEDY
308. suggests,1134,COMEDY,308. basketball,3810,COMEDY
309. find,68,COMEDY,309. seeds,1679,COMEDY
310. coffee,549,COMEDY,310. born,2363,TRAGEDY
311. FROM,4635,COMEDY,311. rewards,2250,COMEDY
312. looked,1188,TRAGEDY,312. holiday,3588,COMEDY
313. trading,2478,COMEDY,313. displacement,3335,TRAGEDY
314. born,2363,TRAGEDY,314. Looking,4827,COMEDY
315. output,547,COMEDY,315. shoulder,2847,TRAGEDY
316. start,247,COMEDY,316. edit,4294,COMEDY
317. beaches,3933,COMEDY,317. website,211,COMEDY
318. seafood,2029,COMEDY,318. Order,4608,TRAGEDY
319. offers,164,COMEDY,319. one,820,TRAGEDY
320. Enter,2434,COMEDY,320. feel,145,TRAGEDY
321. dressed,3392,COMEDY,321. finance,2272,TRAGEDY
322. left,467,TRAGEDY,322. Aaron,3080,COMEDY
323. cultivate,3854,COMEDY,323. approach,156,TRAGEDY
324. emphasizes,1801,COMEDY,324. mechanism,3106,TRAGEDY
325. decisions,512,TRAGEDY,325. American,1870,COMEDY
326. moment,293,COMEDY,326. gaze,2222,TRAGEDY
327. quinoa,4969,COMEDY,327. called,425,COMEDY
328. char,2512,TRAGEDY,328. invest,1764,TRAGEDY
329. trails,2385,COMEDY,329. moisture,3068,COMEDY
330. instance,617,TRAGEDY,330. resolve,1669,TRAGEDY
331. default,2223,TRAGEDY,331. appreciate,1347,COMEDY
332. want,653,TRAGEDY,332. holes,4624,COMEDY
333. covering,3498,COMEDY,333. pond,2965,COMEDY
334. breakfast,2564,COMEDY,334. Use,74,TRAGEDY
335. fruit,1684,COMEDY,335. Note,1618,COMEDY
336. Design,1582,COMEDY,336. select,1836,COMEDY
337. looks,681,COMEDY,337. g,3956,COMEDY
338. leading,223,COMEDY,338. English,1340,COMEDY
339. computing,2286,COMEDY,339. biology,4712,TRAGEDY
340. meal,1289,COMEDY,340. sending,2252,COMEDY
341. machines,2197,COMEDY,341. gifts,4548,COMEDY
342. Super,3172,COMEDY,342. insights,482,TRAGEDY
343. organizations,178,TRAGEDY,343. trail,2249,TRAGEDY
344. adjusting,3343,COMEDY,344. gaps,3885,TRAGEDY
345. balance,309,COMEDY,345. rice,1372,COMEDY
346. installed,2480,COMEDY,346. grade,4970,TRAGEDY
347. publication,4967,COMEDY,347. goods,1461,COMEDY
348. THE,2993,COMEDY,348. awareness,423,TRAGEDY
349. responsibility,815,TRAGEDY,349. opinion,1503,COMEDY
350. equipment,657,COMEDY,350. activity,501,COMEDY
351. stay,281,COMEDY,351. offerings,2940,COMEDY
352. Set,795,COMEDY,352. encounter,2166,TRAGEDY
353. luck,1531,COMEDY,353. describe,833,COMEDY
354. estimated,3661,TRAGEDY,354. actors,2527,COMEDY
355. discomfort,2689,TRAGEDY,355. flying,3168,COMEDY
356. drug,1613,TRAGEDY,356. drink,1905,COMEDY
357. v,1268,COMEDY,357. dried,4455,TRAGEDY
358. cold,4275,TRAGEDY,358. clouds,3493,TRAGEDY
359. fallen,3071,TRAGEDY,359. pride,2255,TRAGEDY
360. increased,532,TRAGEDY,360. habitat,2536,TRAGEDY
361. manufacturer,3391,COMEDY,361. fostering,2339,COMEDY
362. components,1227,COMEDY,362. Force,4943,TRAGEDY
363. fostering,2339,COMEDY,363. joining,3026,COMEDY
364. transparency,1334,COMEDY,364. login,4759,COMEDY
365. subscribers,4977,COMEDY,365. selecting,2110,COMEDY
366. assumptions,3816,COMEDY,366. indicates,2788,COMEDY
367. reader,1341,COMEDY,367. ignore,3957,COMEDY
368. IN,4057,COMEDY,368. realm,2094,TRAGEDY
369. charged,3175,TRAGEDY,369. meeting,965,COMEDY
370. response,229,COMEDY,370. ass,4095,COMEDY
371. disrupt,3881,COMEDY,371. nods,3382,COMEDY
372. Gloopy,4847,COMEDY,372. officers,2973,TRAGEDY
373. stretch,3136,COMEDY,373. arm,2660,TRAGEDY
374. end,203,TRAGEDY,374. saying,1706,COMEDY
375. wondering,2981,COMEDY,375. resulting,1095,TRAGEDY
376. fats,3490,COMEDY,376. format,864,COMEDY
377. measures,329,COMEDY,377. realized,925,TRAGEDY
378. presence,591,COMEDY,378. filters,2439,COMEDY
379. AWS,4877,COMEDY,379. accepted,3311,COMEDY
380. sports,734,COMEDY,380. returning,1035,TRAGEDY
381. destroyed,4645,TRAGEDY,381. purposes,1563,COMEDY
382. restaurant,1087,COMEDY,382. describing,4383,COMEDY
383. exploration,1167,COMEDY,383. Update,3680,COMEDY
384. percent,2815,COMEDY,384. distribution,1143,TRAGEDY
385. grains,4018,COMEDY,385. ethics,2538,TRAGEDY
386. revealing,2453,COMEDY,386. bravery,2831,TRAGEDY
387. exit,3460,TRAGEDY,387. resolving,4892,COMEDY
388. identity,461,COMEDY,388. document,1771,TRAGEDY
389. wash,4035,COMEDY,389. sun,981,COMEDY
390. CEO,4411,COMEDY,390. anger,3014,TRAGEDY
391. situation,418,COMEDY,391. IoT,4254,COMEDY
392. Freedom,2813,TRAGEDY,392. default,2223,TRAGEDY
393. materials,216,COMEDY,393. mind,237,COMEDY
394. afternoon,3800,COMEDY,394. stands,1388,COMEDY
395. leather,3232,TRAGEDY,395. rivers,4382,TRAGEDY
396. shop,1576,COMEDY,396. centered,4951,COMEDY
397. balls,3703,COMEDY,397. OUT,3598,COMEDY
398. agency,2100,TRAGEDY,398. exist,3141,TRAGEDY
399. accident,3845,TRAGEDY,399. Nick,4345,COMEDY
400. focused,528,COMEDY,400. greenhouse,1324,TRAGEDY
401. river,2080,TRAGEDY,401. concentration,2524,TRAGEDY
402. tokens,3217,COMEDY,402. installing,4603,COMEDY
403. East,1772,TRAGEDY,403. dioxide,3203,TRAGEDY
404. shell,4562,TRAGEDY,404. Ash,4124,TRAGEDY
405. Series,4069,COMEDY,405. powder,1727,COMEDY
406. jokes,4895,COMEDY,406. expression,627,COMEDY
407. disposal,3650,TRAGEDY,407. university,1828,COMEDY
408. explained,4051,COMEDY,408. effect,741,TRAGEDY
409. details,163,COMEDY,409. hour,2035,TRAGEDY
410. like,784,COMEDY,410. continued,785,TRAGEDY
411. Section,4824,TRAGEDY,411. x,392,COMEDY
412. respect,607,TRAGEDY,412. chocolate,1814,COMEDY
413. extended,3815,TRAGEDY,413. playing,698,COMEDY
414. volume,2031,COMEDY,414. angles,4271,COMEDY
415. washing,4180,COMEDY,415. percent,2815,TRAGEDY
416. checks,2203,COMEDY,416. opening,1882,COMEDY
417. struggling,1357,TRAGEDY,417. captures,2742,COMEDY
418. Saturday,4339,COMEDY,418. wife,2267,TRAGEDY
419. regards,3207,COMEDY,419. printing,2473,COMEDY
420. agreement,1803,COMEDY,420. question,422,TRAGEDY
421. Leonardo,3855,COMEDY,421. discrimination,1067,TRAGEDY
422. months,919,TRAGEDY,422. showed,2293,COMEDY
423. look,276,COMEDY,423. becoming,847,COMEDY
424. html,3270,COMEDY,424. random,3140,COMEDY
425. meant,2013,TRAGEDY,425. delve,4956,TRAGEDY
426. empowerment,4639,COMEDY,426. interpretations,4098,COMEDY
427. option,475,COMEDY,427. appeared,3579,COMEDY
428. grow,844,COMEDY,428. endurance,4167,TRAGEDY
429. Protection,4762,TRAGEDY,429. Technology,1948,COMEDY
430. advocate,2404,COMEDY,430. democracy,3122,TRAGEDY
431. transitions,4819,TRAGEDY,431. Be,576,COMEDY
432. put,593,COMEDY,432. designs,974,COMEDY
433. Jessica,4535,COMEDY,433. Create,385,COMEDY
434. eating,1410,COMEDY,434. chatbots,4556,COMEDY
435. foot,2048,COMEDY,435. Increased,2717,TRAGEDY
436. orange,2824,COMEDY,436. landing,4075,COMEDY
437. assess,1952,TRAGEDY,437. animals,566,COMEDY
438. stream,2882,COMEDY,438. sentences,2670,TRAGEDY
439. h,4138,COMEDY,439. humanity,1812,TRAGEDY
440. forests,2181,TRAGEDY,440. permissions,4800,TRAGEDY
441. added,1008,COMEDY,441. que,3364,COMEDY
442. resort,4891,COMEDY,442. recycling,1877,COMEDY
443. populations,1101,TRAGEDY,443. rocks,3851,COMEDY
444. contract,1947,TRAGEDY,444. students,113,COMEDY
445. adhere,4700,TRAGEDY,445. label,2207,TRAGEDY
446. boat,4233,COMEDY,446. movements,746,TRAGEDY
447. company,112,COMEDY,447. agents,3249,COMEDY
448. centuries,2117,TRAGEDY,448. zones,4533,TRAGEDY
449. alter,4600,TRAGEDY,449. charming,4662,COMEDY
450. lifestyle,2002,COMEDY,450. Describe,2226,COMEDY
